age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
57,Self-emp-not-inc,42,Assoc-voc,14,Never-married,Handlers-cleaners,Own-child,Amer-Indian-Eskimo,Female,50,1741,47,Yugoslavia,>50K
79,Federal-gov,44,12th,11,Divorced,Protective-serv,Unmarried,White,Male,22,1870,98,India,>50K
78,Without-pay,98,HS-grad,15,Married-civ-spouse,Priv-house-serv,Unmarried,Amer-Indian-Eskimo,Female,99,2352,32,Ecuador,>50K
85,State-gov,75,Preschool,5,Widowed,Exec-managerial,Wife,Amer-Indian-Eskimo,Female,79,1340,9,Haiti,>50K
85,Local-gov,87,Prof-school,4,Married-spouse-absent,Sales,Not-in-family,Asian-Pac-Islander,Female,86,3770,3,Yugoslavia,>50K
55,Self-emp-not-inc,70,Assoc-acdm,9,Separated,Priv-house-serv,Husband,Asian-Pac-Islander,Male,74,810,98,England,<=50K
22,Local-gov,78,12th,6,Widowed,Farming-fishing,Wife,Other,Male,50,880,18,India,<=50K
19,Private,46,HS-grad,8,Married-AF-spouse,Sales,Husband,Asian-Pac-Islander,Male,36,4356,92,Mexico,<=50K
89,Local-gov,54,Prof-school,1,Separated,Armed-Forces,Wife,Asian-Pac-Islander,Female,18,653,12,South,>50K
26,Federal-gov,50,Preschool,1,Married-civ-spouse,Transport-moving,Unmarried,Amer-Indian-Eskimo,Male,53,1844,98,Jamaica,>50K
67,Private,43,Assoc-acdm,11,Widowed,Craft-repair,Own-child,Amer-Indian-Eskimo,Male,0,2472,90,Hong,>50K
82,?,65,7th-8th,15,Married-civ-spouse,Tech-support,Other-relative,Asian-Pac-Islander,Male,69,1628,7,Italy,>50K
31,Local-gov,78,Preschool,10,Married-AF-spouse,Priv-house-serv,Husband,Asian-Pac-Islander,Female,68,1911,29,Jamaica,<=50K
64,Self-emp-not-inc,6,Preschool,8,Separated,Farming-fishing,Own-child,Other,Male,40,1564,58,Haiti,>50K
69,Local-gov,47,9th,16,Divorced,Farming-fishing,Wife,Black,Female,44,1870,69,Mexico,<=50K
46,Federal-gov,44,7th-8th,4,Married-civ-spouse,Farming-fishing,Other-relative,Asian-Pac-Islander,Female,12,1816,24,United-States,<=50K
87,Without-pay,9,5th-6th,14,Never-married,Other-service,Other-relative,White,Female,5,1974,88,Japan,>50K
55,State-gov,3,Assoc-acdm,13,Divorced,Tech-support,Wife,Other,Female,9,1719,69,Yugoslavia,>50K
45,Self-emp-inc,9,11th,6,Divorced,Other-service,Other-relative,Black,Male,28,1651,48,India,<=50K
84,?,34,10th,5,Never-married,Priv-house-serv,Own-child,Amer-Indian-Eskimo,Male,1,974,57,Hungary,>50K
79,State-gov,94,Prof-school,3,Widowed,Adm-clerical,Unmarried,Asian-Pac-Islander,Male,94,1648,45,Philippines,<=50K
78,?,1,Bachelors,13,Never-married,Machine-op-inspct,Husband,White,Male,23,653,19,Honduras,>50K
53,?,38,Some-college,14,Married-spouse-absent,Transport-moving,Own-child,Amer-Indian-Eskimo,Male,80,1668,50,Vietnam,<=50K
52,Local-gov,78,7th-8th,9,Divorced,Farming-fishing,Wife,Asian-Pac-Islander,Male,15,2080,82,China,>50K
72,Self-emp-not-inc,80,Prof-school,6,Widowed,Adm-clerical,Husband,Black,Female,38,2246,82,Thailand,>50K
72,Never-worked,94,Prof-school,15,Widowed,Transport-moving,Other-relative,Asian-Pac-Islander,Male,66,1590,42,Greece,<=50K
48,Self-emp-not-inc,50,Doctorate,15,Separated,Adm-clerical,Husband,Asian-Pac-Islander,Male,95,1762,9,Greece,<=50K
31,Private,13,5th-6th,8,Married-AF-spouse,Craft-repair,Not-in-family,White,Female,91,1721,14,England,>50K
33,Without-pay,86,Assoc-acdm,2,Never-married,Protective-serv,Husband,Other,Female,98,1848,27,England,>50K
82,Self-emp-not-inc,46,9th,10,Married-AF-spouse,Priv-house-serv,Unmarried,Amer-Indian-Eskimo,Male,54,1668,70,Hungary,<=50K
55,Never-worked,99,Preschool,14,Divorced,Tech-support,Own-child,Amer-Indian-Eskimo,Female,62,1848,77,France,<=50K
60,?,87,11th,2,Married-civ-spouse,Armed-Forces,Unmarried,Asian-Pac-Islander,Male,96,2457,42,Nicaragua,>50K
33,Federal-gov,37,Prof-school,10,Separated,Armed-Forces,Not-in-family,White,Male,18,1648,53,Haiti,>50K
42,Self-emp-not-inc,93,HS-grad,15,Married-spouse-absent,Protective-serv,Unmarried,Other,Female,76,2465,45,Italy,<=50K
54,Local-gov,90,Some-college,10,Married-spouse-absent,Sales,Husband,Asian-Pac-Islander,Female,27,2467,8,Portugal,>50K
41,Self-emp-inc,82,5th-6th,6,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Female,47,974,24,Mexico,<=50K
66,State-gov,86,11th,4,Widowed,Protective-serv,Husband,Asian-Pac-Islander,Male,85,810,82,?,<=50K
39,Never-worked,6,Bachelors,2,Divorced,Adm-clerical,Own-child,Black,Male,89,1668,48,Canada,<=50K
47,Federal-gov,74,HS-grad,9,Married-spouse-absent,Farming-fishing,Wife,Other,Male,42,1573,14,Italy,>50K
25,Self-emp-not-inc,43,Doctorate,16,Married-spouse-absent,Handlers-cleaners,Wife,Asian-Pac-Islander,Female,91,1876,56,Hong,>50K
25,Self-emp-inc,1,Some-college,16,Divorced,Sales,Not-in-family,White,Female,49,419,45,Trinadad&Tobago,>50K
19,State-gov,73,9th,5,Married-AF-spouse,Armed-Forces,Unmarried,Amer-Indian-Eskimo,Male,40,1911,39,Cambodia,>50K
35,Self-emp-not-inc,90,7th-8th,13,Married-AF-spouse,Craft-repair,Wife,Black,Male,59,2163,4,Columbia,<=50K
34,Without-pay,48,Prof-school,4,Never-married,Adm-clerical,Own-child,White,Female,6,2205,86,France,<=50K
