age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
27.0,Private,162268.0,7th-8th,4,Never-married,Craft-repair,Not-in-family,White,Male,4733.0,87.0,56.0,qlzygglrmvujh,<=50K
53.0,Self-emp-inc,259712.0,Bachelors,13,Married-spouse-absent,Exec-managerial,Not-in-family,White,Female,4092.0,167.0,55.0,xwaestnkgltjg,<=50K
44.0,Self-emp-inc,160833.0,Assoc-voc,11,Divorced,Exec-managerial,Not-in-family,White,Male,3893.0,216.0,36.0,flfpzsprpfhme,<=50K
18.0,Private,158199.0,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Male,3736.0,189.0,36.0,qthaveskvhuc,<=50K
30.0,Private,72814.0,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Male,938.0,104.0,36.0,k,<=50K
33.0,Private,239214.0,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,2744.0,63.0,39.0,xfmmajadvdvw,<=50K
34.0,Private,78315.0,Bachelors,13,Never-married,Exec-managerial,Unmarried,White,Female,2119.0,97.0,38.0,kfovvbwmuhkk,<=50K
25.0,Private,175467.0,10th,6,Never-married,Handlers-cleaners,Not-in-family,White,Male,4749.0,75.0,38.0,rmbovsogbwdgw,>50K
37.0,Private,249137.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,869.0,53.0,43.0,quvjorbdmysa,>50K
41.0,Local-gov,209891.0,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,849.0,41.0,40.0,ffrivtzinvicn,<=50K
57.0,Private,155534.0,Some-college,10,Divorced,Other-service,Not-in-family,White,Female,3294.0,208.0,20.0,frsbgyljmcith,>50K
44.0,Self-emp-not-inc,243107.0,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,787.0,109.0,45.0,zrpgbciboydf,<=50K
55.0,Private,160627.0,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,550.0,24.0,36.0,nahpckudgptnb,<=50K
53.0,Private,187377.0,Assoc-acdm,12,Married-civ-spouse,Craft-repair,Husband,White,Male,2520.0,84.0,49.0,i,>50K
38.0,Private,161918.0,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,3983.0,85.0,50.0,wewbqocbscpv,<=50K
51.0,Private,278704.0,Assoc-voc,11,Widowed,Adm-clerical,Not-in-family,White,Female,3025.0,112.0,38.0,fscvtffrfeqlb,<=50K
20.0,Private,149689.0,12th,8,Never-married,Sales,Own-child,White,Female,3774.0,213.0,20.0,ktirlcd,<=50K
39.0,Local-gov,247822.0,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,1329.0,213.0,38.0,kxcsdqngffrg,>50K
38.0,Self-emp-inc,168403.0,Some-college,10,Divorced,Exec-managerial,Not-in-family,White,Male,26425.0,123.0,52.0,niqgocvbtxnx,>50K
24.0,Private,259459.0,11th,7,Married-civ-spouse,Transport-moving,Husband,White,Male,2143.0,135.0,37.0,hzzizmzguchl,>50K
25.0,Private,304891.0,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,4954.0,147.0,40.0,mqxtzdpszpkxv,>50K
34.0,Private,95810.0,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,3590.0,109.0,40.0,irncemqmpbdo,>50K
20.0,Private,379339.0,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,4731.0,106.0,29.0,svbjriouzhxf,<=50K
52.0,Private,112962.0,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,2689.0,69.0,54.0,ygbkcrgkjnegt,>50K
19.0,Private,195081.0,HS-grad,9,Never-married,Other-service,Other-relative,White,Male,2773.0,2109.0,3.0,nofqscmrdbbs,<=50K
36.0,Private,181724.0,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,4950.0,20.0,36.0,gjnxjdnnrkzq,<=50K
48.0,Local-gov,229356.0,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,950.0,69.0,40.0,gzzoalp,<=50K
52.0,?,83098.0,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,3913.0,194.0,24.0,byfpifqdqhehg,>50K
82.0,Self-emp-not-inc,207094.0,1st-4th,2,Separated,Prof-specialty,Not-in-family,White,Female,3958.0,50.0,61.0,sepzlhxondht,<=50K
21.0,Private,321510.0,12th,8,Never-married,Sales,Own-child,White,Female,4224.0,211.0,20.0,rijiqmyjifzt,<=50K
33.0,Private,233481.0,HS-grad,9,Divorced,Machine-op-inspct,Unmarried,White,Female,3750.0,650.0,38.0,eoyxttxzhdhdq,<=50K
53.0,Private,167678.0,1st-4th,2,Married-civ-spouse,Craft-repair,Husband,White,Male,777.0,125.0,52.0,fkqglsdyrsupj,>50K
22.0,State-gov,203025.0,Assoc-voc,11,Never-married,Adm-clerical,Not-in-family,Other,Female,3306.0,9.0,40.0,gcxthdttnhoft,<=50K
60.0,?,245561.0,7th-8th,4,Married-civ-spouse,?,Husband,White,Male,4618.0,20.0,1.0,oxicrkknyagfl,<=50K
52.0,?,226440.0,Some-college,10,Married-civ-spouse,?,Husband,White,Male,2816.0,44.0,54.0,xkarigpoycziw,<=50K
17.0,Private,156082.0,11th,7,Never-married,Other-service,Own-child,Black,Female,1805.0,71.0,7.0,mqstkwyyqijmv,<=50K
71.0,Private,367357.0,Bachelors,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,4748.0,25.0,16.0,orqexshbfnvm,<=50K
18.0,Private,331254.0,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,2808.0,174.0,22.0,dosnyxxpkpqk,<=50K
42.0,Private,178044.0,10th,6,Married-civ-spouse,Exec-managerial,Other-relative,White,Male,2058.0,79.0,39.0,ewakiinkyyswb,>50K
27.0,Private,363696.0,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,3071.0,51.0,38.0,jgdzncwpqsos,<=50K
39.0,State-gov,107702.0,HS-grad,9,Divorced,Prof-specialty,Unmarried,Black,Female,4021.0,10.0,23.0,ryvaxrljdqtjt,<=50K
63.0,Private,191121.0,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,1141.0,83.0,16.0,daqjkiozfpyub,<=50K
31.0,Private,89609.0,HS-grad,9,Never-married,Transport-moving,Not-in-family,Black,Male,78.0,1.0,64.0,uyghmkitbsgq,<=50K
43.0,Private,317681.0,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,2645.0,25.0,39.0,ofbegl,<=50K
18.0,Private,87709.0,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,4707.0,132.0,9.0,okulhw,<=50K
24.0,Private,165855.0,Some-college,10,Never-married,Adm-clerical,Other-relative,White,Female,3401.0,204.0,39.0,kfuocugkmsye,<=50K
43.0,Private,91601.0,Assoc-acdm,12,Married-civ-spouse,Tech-support,Husband,White,Male,3155.0,43.0,19.0,dmpdqpthkdeqr,<=50K
26.0,Private,117248.0,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,3139.0,161.0,36.0,mmfqkjophgwk,<=50K
84.0,Private,126896.0,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,2485.0,43.0,10.0,sxquygkrmyzwl,<=50K
46.0,Private,67040.0,Some-college,10,Divorced,Tech-support,Not-in-family,White,Female,3655.0,0.0,35.0,gkrvbhvwnhkv,<=50K
31.0,Private,170612.0,HS-grad,9,Married-spouse-absent,Other-service,Own-child,Black,Female,1246.0,195.0,34.0,aojyskliyms,<=50K
41.0,Private,43487.0,Some-college,10,Married-spouse-absent,Exec-managerial,Own-child,White,Male,4459.0,184.0,43.0,fstczeltxuzv,<=50K
28.0,Private,133266.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Other,Male,1372.0,15.0,39.0,vcnpzkmautcmx,>50K
36.0,State-gov,314157.0,Assoc-voc,11,Divorced,Prof-specialty,Unmarried,White,Male,4725.0,39.0,36.0,bgnyrvrhtssn,<=50K
52.0,Private,192971.0,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,4632.0,51.0,54.0,w,<=50K
