age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
42.0,Private,162268.0,HS-grad,13,Never-married,Exec-managerial,Not-in-family,White,Male,4733.0,87.0,36.0,zeqmsamztvweh,<=50K
45.0,Private,37995.0,Some-college,9,Married-civ-spouse,Other-service,Not-in-family,White,Male,4092.0,167.0,40.0,jznvgxxealepx,<=50K
40.0,Private,160833.0,Bachelors,10,Never-married,Prof-specialty,Wife,Black,Male,3893.0,216.0,36.0,jgnndlhdydzej,<=50K
40.0,Private,232105.0,HS-grad,9,Never-married,Protective-serv,Husband,White,Male,3736.0,189.0,36.0,yyrcvvyxnkpf,<=50K
33.0,Private,72814.0,Some-college,10,Separated,Prof-specialty,Other-relative,Black,Male,938.0,104.0,17.0,fggbixlkvfjv,<=50K
44.0,Self-emp-not-inc,313120.0,HS-grad,9,Married-civ-spouse,Adm-clerical,Unmarried,White,Male,2744.0,63.0,29.0,rzscikablcrl,>50K
34.0,Self-emp-inc,226126.0,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,Black,Male,2119.0,97.0,19.0,pfxrflczizlh,<=50K
58.0,?,27656.0,HS-grad,8,Married-civ-spouse,?,Husband,White,Male,4749.0,75.0,13.0,zmwuazwbvtolt,<=50K
66.0,Private,101326.0,Some-college,7,Married-civ-spouse,Craft-repair,Own-child,White,Female,869.0,53.0,48.0,jrecgvfsqgpp,<=50K
34.0,Private,431608.0,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,849.0,41.0,55.0,gjnzubqovbhtt,<=50K
53.0,Local-gov,229439.0,11th,9,Never-married,Adm-clerical,Wife,White,Male,3294.0,208.0,40.0,ouvodizrijwbd,<=50K
37.0,Private,21389.0,Assoc-voc,9,Never-married,Other-service,Not-in-family,White,Male,787.0,109.0,64.0,admwuihoqnfs,<=50K
40.0,Private,86722.0,HS-grad,7,Married-civ-spouse,Craft-repair,Unmarried,White,Female,550.0,24.0,50.0,ngfmwbeoofmlg,>50K
64.0,Private,187377.0,HS-grad,4,Never-married,Exec-managerial,Husband,White,Male,2520.0,84.0,54.0,ildrpqmpprlj,<=50K
19.0,Private,14107.0,Masters,2,Separated,Exec-managerial,Husband,White,Female,3983.0,85.0,35.0,bwgxfldrrqyt,<=50K
18.0,Private,204798.0,HS-grad,9,Married-civ-spouse,Adm-clerical,Other-relative,White,Male,3025.0,112.0,63.0,rvasrpeemboaq,<=50K
20.0,Private,223595.0,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Female,3774.0,213.0,45.0,cluirwtscixw,<=50K
53.0,Private,100011.0,Some-college,11,Married-civ-spouse,Sales,Own-child,White,Male,1329.0,213.0,38.0,zjnypoyiwqgz,>50K
53.0,Private,168403.0,Bachelors,9,Married-civ-spouse,Other-service,Not-in-family,White,Male,1425.0,123.0,52.0,zyrsf,<=50K
57.0,Self-emp-inc,259459.0,Some-college,13,Married-civ-spouse,Craft-repair,Own-child,White,Female,2143.0,135.0,3.0,bjnob,<=50K
66.0,Private,157079.0,HS-grad,3,Married-civ-spouse,Sales,Not-in-family,White,Male,4954.0,147.0,40.0,yfyyrhfgloyix,<=50K
53.0,Private,169716.0,Some-college,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,3590.0,109.0,40.0,fcuyppijsipf,<=50K
35.0,?,231528.0,HS-grad,9,Never-married,Prof-specialty,Own-child,White,Male,4731.0,106.0,19.0,gqfmwveownrp,<=50K
52.0,Private,408585.0,Masters,10,Never-married,Other-service,Own-child,White,Female,2689.0,69.0,54.0,qiznvqcjjkgdy,<=50K
22.0,?,268987.0,Masters,13,Married-civ-spouse,Sales,Husband,White,Male,2773.0,2545.0,37.0,yoverznukmxk,>50K
43.0,Private,255629.0,Some-college,9,Married-civ-spouse,Sales,Not-in-family,White,Male,4950.0,20.0,36.0,rhywhvzzsgxb,>50K
22.0,Private,229356.0,Assoc-acdm,9,Separated,Adm-clerical,Husband,White,Male,950.0,69.0,40.0,iezqtoyvzizpp,<=50K
63.0,Self-emp-not-inc,157003.0,HS-grad,4,Married-civ-spouse,Adm-clerical,Not-in-family,White,Male,3913.0,194.0,53.0,aytvxlswczita,>50K
39.0,Local-gov,1463492.0,HS-grad,13,Married-civ-spouse,Prof-specialty,Not-in-family,White,Female,3958.0,50.0,37.0,wevhyojdkwyw,<=50K
35.0,Private,25887.0,Some-college,9,Divorced,Sales,Husband,White,Male,4224.0,211.0,40.0,euumtpuoexod,>50K
