age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
17,Private,174296,11th,7,Never-married,Transport-moving,Not-in-family,White,Male,0.0,0,30,United-States,<=50K
43,Private,123992,Assoc-acdm,8,Separated,Sales,Unmarried,,0,74.0,United-States,45,,<=50K
55,Private,209204,Bachelors,13,Married-civ-spouse,Tech-support,Husband,Asian-Pac-Islander,Female,15538.0,0,40,Guatemala,<=50K
26,Self-emp-inc,115296,Bachelors,13,Never-married,Sales,Own-child,White,Female,0.0,0,15,United-States,<=50K
54,Private,134445,Assoc-acdm,15,Widowed,Prof-specialty,Not-in-family,,0,0.0,0,<=50K,,
39,Private,27947,Some-college,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0,40,United-States,>50K
36,Private,334925,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0.0,0,60,United-States,<=50K
48,Self-emp-inc,50679,HS-grad,8,Married-civ-spouse,Protective-serv,Wife,White,Male,2.0,0,45,Poland,<=50K
17,Local-gov,197806,11th,6,Never-married,Handlers-cleaners,Own-child,White,Male,9.0,0,10,United-States,<=50K
34,Private,277354,HS-grad,8,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0,40,United-States,<=50K
49,Private,236499,Assoc-acdm,12,Separated,Prof-specialty,Not-in-family,White,Male,7.0,0,<=50K,United-States,<=50K
42,Private,342687,5th-6th,4,Married-civ-spouse,Prof-specialty,Husband,Other,Male,0.0,0,40,Mexico,<=50K
19,?,204776,HS-grad,8,Never-married,Other-service,Own-child,White,Male,0.0,0,40,United-States,<=50K
41,Private,326921,Some-college,10,Divorced,Other-service,Not-in-family,White,Female,0.0,0,56,United-States,<=50K
27,Self-emp-not-inc,113890,HS-grad,8,Never-married,Farming-fishing,Not-in-family,White,Male,7.0,0,70,United-States,<=50K
26,Self-emp-not-inc,115185,Bachelors,12,Widowed,Sales,Not-in-family,White,Female,0.0,0,30,United-States,<=50K
21,?,90857,Some-college,9,Never-married,?,Own-child,White,Female,0.0,0,15,United-States,<=50K
55,Private,220548,HS-grad,8,Never-married,Sales,Not-in-family,White,Male,20.0,0,40,Peru,<=50K
59,Private,240043,Prof-school,15,Married-civ-spouse,Prof-specialty,Not-in-family,Black,Male,34.0,0,40,Greece,>50K
36,Private,233233,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Female,27.0,0,39,United-States,>50K
29,Private,160334,Bachelors,13,Never-married,Adm-clerical,Unmarried,White,Female,27.0,0,30,Peru,<=50K
43,Private,132793,Bachelors,12,Married-civ-spouse,Prof-specialty,Wife,White,Male,5.0,0,45,United-States,>50K
34,Self-emp-not-inc,195480,Bachelors,4,Married-civ-spouse,Exec-managerial,Husband,White,Male,19.0,0,33,United-States,>50K
44,Private,148866,HS-grad,8,Widowed,Adm-clerical,Not-in-family,White,Female,0.0,0,50,United-States,>50K
31,Self-emp-inc,135094,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0,20,United-States,<=50K
60,Private,229426,HS-grad,8,Married-civ-spouse,Sales,Husband,White,Male,17.0,0,40,United-States,>50K
40,Private,212940,Bachelors,12,Divorced,Tech-support,Not-in-family,Asian-Pac-Islander,Male,0.0,0,40,United-States,<=50K
36,Private,236120,HS-grad,8,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0.0,0,40,United-States,<=50K
47,Local-gov,235993,Some-college,10,Widowed,Adm-clerical,Unmarried,Black,Female,33.0,0,40,United-States,<=50K
44,Self-emp-not-inc,47878,HS-grad,8,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0,50,United-States,<=50K
35,Private,183711,5th-6th,6,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,12.0,0,36,United-States,<=50K
20,?,185242,12th,9,Widowed,?,Not-in-family,White,Male,0.0,0,20,United-States,<=50K
33,Private,103883,7th-8th,10,Never-married,Sales,Not-in-family,White,Male,0.0,0,20,United-States,<=50K
72,Self-emp-inc,126376,Some-college,10,Married-civ-spouse,?,Husband,White,Male,0.0,0,45,United-States,<=50K
19,Self-emp-inc,150509,Bachelors,12,Married-civ-spouse,?,Husband,White,Male,28.0,0,60,United-States,<=50K
19,Private,180310,11th,7,Never-married,Priv-house-serv,Own-child,White,Female,0.0,0,20,United-States,<=50K
30,Private,183044,Bachelors,10,Never-married,Adm-clerical,Unmarried,White,Female,5.0,0,20,United-States,>50K
51,Private,432445,HS-grad,8,Married-civ-spouse,Craft-repair,Not-in-family,White,Female,25.0,0,40,United-States,<=50K
17,Self-emp-not-inc,203744,11th,6,Never-married,Farming-fishing,Not-in-family,White,Male,0.0,0,30,United-States,<=50K
40,Private,189518,Bachelors,12,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0.0,1887,40,United-States,>50K
19,?,245376,Some-college,10,Never-married,?,Own-child,White,Male,0.0,0,30,United-States,<=50K
18,Private,206553,11th,7,Never-married,Other-service,Not-in-family,White,Female,0.0,0,30,United-States,<=50K
31,Self-emp-not-inc,192225,Assoc-voc,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0,60,United-States,>50K
37,Private,69478,Masters,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0,60,United-States,<=50K
23,Private,192154,HS-grad,8,Never-married,Machine-op-inspct,Not-in-family,White,Male,0.0,0,40,United-States,<=50K
22,Private,112553,Some-college,9,Divorced,Machine-op-inspct,Not-in-family,White,Female,0.0,0,40,United-States,<=50K
38,Local-gov,203646,Doctorate,15,Married-civ-spouse,Farming-fishing,Husband,White,Male,24.0,0,50,United-States,<=50K
30,Private,375238,Bachelors,12,Divorced,Sales,Not-in-family,White,Male,0.0,0,34,Ireland,<=50K
37,Private,314585,Some-college,9,Married-civ-spouse,Prof-specialty,Husband,White,Female,0.0,0,50,United-States,>50K
24,Private,124067,Bachelors,13,Never-married,Sales,Not-in-family,Black,Female,50.0,0,30,United-States,<=50K
40,Local-gov,57299,HS-grad,8,Never-married,Protective-serv,Not-in-family,Black,Male,0.0,0,40,England,<=50K
22,?,158335,Bachelors,12,Never-married,Sales,Not-in-family,Black,Male,0.0,0,40,United-States,<=50K
71,Private,123498,7th-8th,4,Married-civ-spouse,Other-service,Husband,White,Male,12.0,0,40,United-States,<=50K
28,Self-emp-not-inc,264562,Bachelors,12,Never-married,Tech-support,Not-in-family,White,Male,0.0,0,40,United-States,<=50K
62,Private,119114,7th-8th,3,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0,40,Peru,<=50K
