age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
37,Private,382729,Bachelors,16,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,Female,14514.0,0,84,United-States,>50K
41,Private,117131,Some-college,10,Separated,Adm-clerical,Not-in-family,White,Male,0.0,0,35,United-States,<=50K
33,Private,362998,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,2.0,0,60,United-States,<=50K
38,Without-pay,87103,HS-grad,9,Divorced,Other-service,Unmarried,White,Male,0.0,0,40,United-States,<=50K
43,Private,214823,Some-college,10,Widowed,Farming-fishing,Not-in-family,Other,Male,2127.0,0,55,Mexico,<=50K
17,Private,154411,11th,10,Never-married,Prof-specialty,Own-child,White,Male,0.0,0,40,United-States,<=50K
48,Private,241913,HS-grad,15,Married-civ-spouse,Other-service,Other-relative,Asian-Pac-Islander,Female,0.0,2051,84,United-States,<=50K
45,Private,394364,HS-grad,9,Widowed,Other-service,Wife,Asian-Pac-Islander,Female,0.0,0,56,Mexico,>50K
47,Private,288129,7th-8th,15,Widowed,Prof-specialty,Husband,Other,Female,,0,40,Canada,
41,Private,160473,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,7.0,0,40,United-States,<=50K
45,Private,325235,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,24.0,0,35,United-States,<=50K
53,Private,187145,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0.0,0,23,United-States,<=50K
42,State-gov,447242,HS-grad,16,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,,0,40,Mexico,
34,Private,64721,Prof-school,5,Married-spouse-absent,Farming-fishing,Other-relative,Asian-Pac-Islander,Male,,0,35,United-States,<=50K
21,Private,188037,Some-college,10,Never-married,Priv-house-serv,Not-in-family,White,Female,0.0,0,40,United-States,<=50K
23,Self-emp-not-inc,34891,Some-college,10,Never-married,Tech-support,Not-in-family,White,Female,5.0,0,80,United-States,<=50K
42,Private,361712,1st-4th,15,Married-spouse-absent,Tech-support,Wife,Asian-Pac-Islander,0,,0,27,United-States,<=50K
39,Private,148025,11th,15,Married-civ-spouse,Exec-managerial,,White,Male,2.0,0,40,Jamaica,
20,Private,362023,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0,40,United-States,<=50K
48,Private,179219,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,0.0,0,44,United-States,<=50K
39,Private,245975,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0,40,United-States,<=50K
55,Private,167800,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,6.0,0,40,United-States,<=50K
69,Private,186045,Prof-school,15,Married-civ-spouse,Other-service,Husband,Amer-Indian-Eskimo,Male,2572.0,1902,40,United-States,>50K
35,Private,93833,12th,13,Married-spouse-absent,Sales,Not-in-family,White,Male,0.0,1902,40,Mexico,<=50K
41,?,185410,Bachelors,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0,35,United-States,<=50K
35,Self-emp-not-inc,320266,7th-8th,16,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0.0,0,51,United-States,
43,Private,153580,HS-grad,9,Married-civ-spouse,Transport-moving,Not-in-family,White,Male,9.0,0,45,United-States,<=50K
48,Private,596908,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,1902,60,United-States,>50K
18,Private,178906,Some-college,10,Never-married,?,Own-child,White,Female,0.0,0,90,United-States,<=50K
33,Private,344390,7th-8th,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,2174,35,United-States,
44,Private,123350,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,6.0,0,40,United-States,<=50K
24,Private,42030,Some-college,13,Never-married,Exec-managerial,Not-in-family,White,Male,0.0,0,40,United-States,<=50K
37,Private,318848,Prof-school,16,Separated,Transport-moving,Wife,Asian-Pac-Islander,Female,,1974,37,Cuba,<=50K
21,Private,206956,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,6.0,0,30,United-States,<=50K
44,Private,268064,Doctorate,14,Widowed,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,,0,40,Taiwan,>50K
28,Private,36611,Bachelors,13,Never-married,Sales,Not-in-family,White,Male,0.0,0,30,United-States,<=50K
40,Private,532975,Bachelors,14,Married-civ-spouse,Sales,Husband,White,Male,5.0,0,35,United-States,<=50K
41,Private,311269,Some-college,15,Married-spouse-absent,Sales,Not-in-family,Amer-Indian-Eskimo,Male,,0,41,United-States,<=50K
42,Private,308336,HS-grad,9,Divorced,Other-service,Wife,White,Female,0.0,0,51,Philippines,>50K
35,Without-pay,112493,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0,55,United-States,<=50K
26,Private,439296,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0.0,0,50,United-States,<=50K
40,Self-emp-not-inc,95179,Some-college,10,Separated,Tech-support,Own-child,White,Male,,0,40,United-States,<=50K
54,Self-emp-not-inc,186640,11th,9,Married-civ-spouse,?,Husband,White,Male,2.0,0,40,Mexico,<=50K
37,Private,293199,HS-grad,9,Divorced,Tech-support,Own-child,White,Female,0.0,0,19,United-States,<=50K
45,Private,346407,9th,15,Separated,Prof-specialty,Other-relative,Amer-Indian-Eskimo,Female,,0,72,Mexico,<=50K
48,Private,291219,Doctorate,15,Married-civ-spouse,Prof-specialty,Husband,White,Female,,0,40,Philippines,
27,Private,289451,Assoc-voc,10,Separated,Tech-support,Other-relative,White,Male,,0,40,Vietnam,<=50K
43,Private,250665,Prof-school,9,Widowed,Craft-repair,Other-relative,White,Male,,0,72,United-States,>50K
42,Private,338149,7th-8th,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,14162.0,0,50,United-States,>50K
37,Private,282831,Doctorate,15,Married-civ-spouse,Prof-specialty,Husband,White,Female,14936.0,0,70,Philippines,<=50K
26,Private,285693,Masters,16,Married-civ-spouse,Prof-specialty,Unmarried,White,Female,14403.0,0,60,United-States,<=50K
34,?,434145,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,4.0,0,48,United-States,<=50K
56,State-gov,60761,HS-grad,9,Separated,Transport-moving,Unmarried,White,Female,0.0,0,40,Mexico,<=50K
45,Private,309087,5th-6th,15,Married-civ-spouse,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,14942.0,1825,49,India,
44,Private,238764,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,0.0,0,50,United-States,<=50K
30,Private,242110,Assoc-voc,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,,0,14,United-States,
30,Private,258201,HS-grad,3,Separated,Priv-house-serv,Other-relative,Asian-Pac-Islander,Male,,1340,43,Germany,
30,Private,303491,Bachelors,15,Married-civ-spouse,Prof-specialty,Husband,Black,Male,38769.0,0,55,United-States,
43,Private,298425,Some-college,10,Separated,Adm-clerical,Other-relative,White,Male,3599.0,1977,40,United-States,<=50K
46,Private,224264,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0,60,United-States,<=50K
74,Private,360113,9th,10,Widowed,Prof-specialty,Other-relative,Asian-Pac-Islander,Female,2279.0,0,72,United-States,>50K
39,Private,364563,12th,16,Married-civ-spouse,Prof-specialty,Not-in-family,Black,Male,14402.0,0,20,United-States,>50K
47,Private,120399,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0,40,United-States,>50K
30,Private,248975,11th,13,Divorced,Machine-op-inspct,Own-child,White,Male,0.0,0,40,Mexico,<=50K
36,Private,301907,7th-8th,16,Widowed,Prof-specialty,Wife,Black,Male,,2205,56,United-States,<=50K
23,Private,123845,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,Male,15.0,1848,35,United-States,<=50K
38,Self-emp-not-inc,501860,Some-college,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0,60,United-States,<=50K
66,Self-emp-inc,172929,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0,40,United-States,<=50K
18,Self-emp-not-inc,138780,Masters,7,Never-married,Other-service,Own-child,White,0,0.0,0,28,United-States,<=50K
28,Private,32263,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,Black,Male,16.0,0,50,United-States,>50K
35,Private,272448,HS-grad,4,Widowed,Other-service,Other-relative,White,Female,2103.0,0,7,India,>50K
48,Local-gov,389521,HS-grad,9,Separated,Other-service,Wife,White,Female,2687.0,0,36,United-States,<=50K
32,Private,393925,12th,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,,0,40,United-States,>50K
19,Private,174001,Some-college,10,Separated,Handlers-cleaners,Not-in-family,White,Female,0.0,0,44,United-States,<=50K
28,Self-emp-not-inc,347225,12th,15,Separated,Tech-support,Unmarried,Asian-Pac-Islander,Male,,2057,65,?,
22,Private,165956,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,4.0,0,40,Mexico,<=50K
39,Private,256991,Some-college,16,Widowed,Prof-specialty,Other-relative,Asian-Pac-Islander,0,,1408,40,United-States,<=50K
49,Private,68221,Some-college,10,Widowed,Adm-clerical,Other-relative,White,Female,2239.0,0,40,United-States,<=50K
25,Private,214424,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,12.0,0,50,United-States,>50K
40,?,277919,HS-grad,9,Divorced,Other-service,Not-in-family,White,Male,0.0,0,40,United-States,<=50K
31,Private,203686,Bachelors,13,Never-married,Prof-specialty,Not-in-family,Black,Male,8.0,0,50,United-States,<=50K
47,Private,290821,1st-4th,16,Widowed,Prof-specialty,Husband,,Male,,0,40,United-States,
60,Private,282047,HS-grad,9,Separated,Machine-op-inspct,Other-relative,Black,Female,,0,3,United-States,<=50K
45,Private,293873,10th,16,Married-spouse-absent,Prof-specialty,Unmarried,Asian-Pac-Islander,Female,,0,40,Puerto-Rico,<=50K
37,Private,200051,HS-grad,15,Married-civ-spouse,Tech-support,Husband,Other,Male,,0,5,El-Salvador,
38,?,66115,Some-college,10,Widowed,Other-service,Other-relative,White,Male,,0,40,United-States,<=50K
52,Private,328224,Bachelors,15,Married-civ-spouse,Tech-support,Husband,White,Female,4433.0,0,40,Guatemala,
35,Private,296964,Prof-school,3,Widowed,Exec-managerial,Husband,White,Female,,2377,40,United-States,<=50K
48,Private,110453,Some-college,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,4.0,0,60,United-States,<=50K
39,Private,289386,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,2171.0,0,40,United-States,
41,Private,483439,Preschool,14,Married-civ-spouse,Prof-specialty,Other-relative,Amer-Indian-Eskimo,Male,,1977,40,India,
18,Private,215909,Assoc-voc,7,Never-married,Prof-specialty,Own-child,White,Female,0.0,0,40,United-States,<=50K
32,Without-pay,149741,Bachelors,11,Married-civ-spouse,Craft-repair,Husband,White,Male,7645.0,0,40,United-States,<=50K
42,Federal-gov,563183,Bachelors,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,40164.0,0,40,?,
42,Private,296235,HS-grad,15,Married-civ-spouse,Tech-support,Husband,Black,Female,,1848,2,El-Salvador,<=50K
45,Private,102019,Some-college,10,Never-married,Handlers-cleaners,Own-child,White,Female,0.0,1485,40,United-States,<=50K
74,Private,355236,Assoc-voc,16,Married-civ-spouse,Exec-managerial,Other-relative,White,0,,1741,40,Canada,
44,?,606424,HS-grad,9,Widowed,Other-service,Unmarried,Black,Female,0.0,0,60,United-States,>50K
35,Private,354175,5th-6th,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,,2444,40,United-States,
21,Self-emp-not-inc,140401,Some-college,10,Separated,Sales,Not-in-family,White,Female,0.0,0,40,United-States,>50K
42,Private,159811,Bachelors,10,Never-married,Exec-managerial,Own-child,White,Male,0.0,0,40,United-States,<=50K
33,Private,392738,11th,13,Never-married,?,Own-child,White,Male,4.0,0,40,Mexico,<=50K
60,Private,380864,HS-grad,15,Married-spouse-absent,Prof-specialty,Other-relative,Amer-Indian-Eskimo,0,,0,4,?,
67,Private,321314,HS-grad,9,Never-married,Other-service,Other-relative,Asian-Pac-Islander,0,,1848,4,Puerto-Rico,<=50K
