age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
19,Private,143159,10th,6,Married-civ-spouse,Transport-moving,Husband,White,Female,0.0,0,30,United-States,<=50K
28,Private,164564,HS-grad,3,Divorced,Other-service,Own-child,White,Female,0.0,0,35,United-States,<=50K
30,Private,191806,HS-grad,10,Never-married,Handlers-cleaners,Own-child,White,Male,12443.0,0,40,United-States,>50K
43,Local-gov,385173,HS-grad,16,Never-married,Protective-serv,Husband,White,Male,6477.0,0,41,United-States,>50K
53,Private,132680,9th,10,Divorced,Adm-clerical,Other-relative,White,Female,0.0,0,40,United-States,<=50K
40,Private,145734,HS-grad,3,Married-civ-spouse,Adm-clerical,Own-child,White,Female,0.0,0,30,United-States,<=50K
23,Private,190372,9th,8,Married-civ-spouse,Protective-serv,Husband,White,Female,6676.0,0,60,United-States,<=50K
59,State-gov,196182,12th,13,Married-civ-spouse,Protective-serv,Husband,White,Male,265.0,0,60,United-States,<=50K
32,Private,19903,HS-grad,7,Never-married,Other-service,Own-child,White,Female,0.0,0,40,United-States,<=50K
47,Private,189955,HS-grad,16,Never-married,Adm-clerical,Wife,White,Female,1259.0,0,32,United-States,<=50K
43,Private,256182,HS-grad,8,Never-married,Transport-moving,Other-relative,White,Male,5171.0,0,40,United-States,<=50K
68,Local-gov,110043,11th,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0,40,United-States,>50K
29,Private,426294,Assoc-acdm,11,Never-married,Other-service,Own-child,White,Female,0.0,0,40,United-States,<=50K
32,Private,385461,Assoc-acdm,12,Never-married,Farming-fishing,Own-child,White,Male,1235.0,0,40,United-States,<=50K
26,Private,204742,10th,10,Never-married,Handlers-cleaners,Own-child,White,Female,7142.0,0,60,United-States,>50K
23,Private,140009,Assoc-voc,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,13635.0,0,60,United-States,>50K
21,Private,170045,HS-grad,10,Never-married,Transport-moving,Other-relative,White,Male,4931.0,0,40,United-States,<=50K
21,Private,169226,9th,11,Married-civ-spouse,Transport-moving,Husband,White,Male,1975.0,0,40,United-States,<=50K
43,State-gov,165578,11th,8,Divorced,Tech-support,Own-child,White,Male,6815.0,0,40,United-States,<=50K
33,Private,157527,HS-grad,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Female,12712.0,0,40,United-States,<=50K
33,Private,178822,Doctorate,11,Never-married,Other-service,Own-child,White,Male,318.0,0,20,United-States,<=50K
43,Private,358268,Assoc-acdm,9,Widowed,Adm-clerical,Husband,White,Female,0.0,0,60,United-States,<=50K
24,Private,240899,11th,11,Married-civ-spouse,Other-service,Husband,White,Male,15875.0,0,55,United-States,>50K
26,Private,572180,HS-grad,7,Married-civ-spouse,Farming-fishing,Husband,White,Male,2145.0,0,40,United-States,>50K
54,Private,207690,HS-grad,11,Divorced,Adm-clerical,Own-child,White,Male,0.0,0,40,United-States,<=50K
27,Private,86070,HS-grad,10,Never-married,Farming-fishing,Own-child,White,Male,316.0,0,40,United-States,<=50K
31,Private,136325,HS-grad,11,Divorced,Adm-clerical,Other-relative,White,Female,14532.0,0,40,United-States,<=50K
37,Private,260985,HS-grad,14,Never-married,Other-service,Own-child,White,Female,0.0,0,40,United-States,>50K
23,Private,115590,7th-8th,9,Never-married,Adm-clerical,Own-child,White,Male,0.0,0,20,United-States,<=50K
48,Local-gov,507659,11th,15,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,5044.0,0,55,United-States,>50K
52,Private,224996,HS-grad,7,Married-civ-spouse,Adm-clerical,Husband,White,Female,18202.0,0,40,United-States,<=50K
36,State-gov,144506,HS-grad,11,Never-married,Adm-clerical,Other-relative,White,Female,0.0,0,40,United-States,<=50K
46,Private,191223,5th-6th,11,Never-married,Adm-clerical,Wife,White,Male,0.0,0,60,United-States,>50K
43,Self-emp-inc,140097,10th,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0.0,0,40,United-States,>50K
39,Private,186684,Assoc-voc,12,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,710.0,0,30,United-States,<=50K
78,Private,179853,11th,11,Married-civ-spouse,Farming-fishing,Husband,White,Male,4660.0,0,40,United-States,<=50K
42,State-gov,316441,11th,8,Married-civ-spouse,Machine-op-inspct,Husband,Black,Male,0.0,0,40,United-States,>50K
38,Private,158509,Assoc-voc,7,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,3716.0,0,40,United-States,<=50K
40,Private,166011,HS-grad,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,1634.0,0,40,United-States,<=50K
22,Private,299762,Assoc-acdm,16,Never-married,Adm-clerical,Other-relative,Asian-Pac-Islander,Female,0.0,0,40,United-States,<=50K
30,Private,59596,Assoc-voc,9,Never-married,Other-service,Own-child,White,Male,9030.0,0,38,United-States,<=50K
46,Local-gov,47699,Prof-school,12,Never-married,Machine-op-inspct,Wife,White,Female,16999.0,0,40,United-States,<=50K
41,Private,347724,HS-grad,8,Never-married,Adm-clerical,Wife,White,Female,10779.0,0,35,United-States,<=50K
33,State-gov,246604,HS-grad,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0,40,United-States,>50K
56,Private,164924,Doctorate,14,Married-civ-spouse,Transport-moving,Husband,White,Male,20654.0,0,40,United-States,>50K
45,Private,201628,HS-grad,8,Never-married,Other-service,Own-child,White,Male,0.0,0,40,United-States,<=50K
36,Private,94163,HS-grad,12,Married-civ-spouse,Farming-fishing,Husband,White,Male,12539.0,0,30,United-States,<=50K
32,Private,341490,HS-grad,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,12069.0,0,40,United-States,>50K
32,Self-emp-inc,143997,HS-grad,10,Never-married,Transport-moving,Husband,White,Female,12939.0,0,60,United-States,<=50K
25,Local-gov,211573,HS-grad,10,Never-married,Adm-clerical,Husband,White,Male,0.0,0,35,United-States,<=50K
23,Private,153995,9th,12,Never-married,Other-service,Own-child,White,Female,6185.0,0,39,United-States,>50K
30,State-gov,111482,Assoc-acdm,11,Never-married,Other-service,Own-child,White,Male,0.0,0,36,United-States,<=50K
34,Private,252850,10th,10,Never-married,Other-service,Wife,White,Male,7357.0,0,30,United-States,<=50K
36,Private,130485,10th,7,Never-married,Adm-clerical,Own-child,White,Female,1174.0,0,40,United-States,<=50K
49,Private,172098,9th,10,Divorced,Transport-moving,Husband,White,Male,2865.0,0,84,United-States,<=50K
24,Private,328742,12th,11,Divorced,Machine-op-inspct,Wife,White,Female,11253.0,0,30,United-States,<=50K
21,Private,1461335,10th,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0,40,United-States,>50K
39,Private,129754,HS-grad,10,Never-married,Adm-clerical,Wife,White,Female,10877.0,0,40,United-States,<=50K
66,Self-emp-inc,130820,HS-grad,13,Married-civ-spouse,Tech-support,Husband,White,Female,0.0,0,20,United-States,<=50K
50,Private,88856,Assoc-acdm,16,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,3606.0,0,40,United-States,>50K
47,Private,187894,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,4372.0,0,40,United-States,<=50K
49,Self-emp-inc,36099,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Female,0.0,0,60,United-States,<=50K
