age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,income
20,Private,91293,Some-college,10,Never-married,Adm-clerical,Not-in-family,Black,Female,3614.0,0,20,United-States,<=50K
32,Private,81259,HS-grad,8,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0,50,United-States,<=50K
19,Private,123581,HS-grad,8,Never-married,Adm-clerical,Own-child,White,Female,3.0,0,25,United-States,<=50K
24,Private,182179,Assoc-acdm,11,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0,40,United-States,<=50K
38,Private,75537,HS-grad,8,Married-civ-spouse,Transport-moving,Husband,White,Male,2.0,0,40,United-States,<=50K
20,?,97562,11th,6,Never-married,?,Own-child,White,Male,0.0,0,20,United-States,<=50K
20,Federal-gov,119214,Some-college,10,Never-married,Other-service,Not-in-family,Black,Male,0.0,0,40,United-States,<=50K
46,Private,112758,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,0.0,0,40,United-States,>50K
25,Private,172140,HS-grad,8,Never-married,Other-service,Not-in-family,White,Male,0.0,0,40,United-States,<=50K
29,Private,121051,HS-grad,8,Never-married,Transport-moving,Own-child,White,Male,0.0,0,40,United-States,<=50K
53,Private,129608,Assoc-voc,10,Divorced,Adm-clerical,Wife,White,Female,0.0,0,40,United-States,<=50K
49,Private,106102,Masters,14,Divorced,Prof-specialty,Not-in-family,White,Male,1.0,0,40,United-States,>50K
30,Private,120962,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0,60,United-States,<=50K
48,Self-emp-not-inc,113299,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0,60,United-States,>50K
33,Private,156987,Masters,14,Never-married,Sales,Not-in-family,White,Female,0.0,0,50,United-States,<=50K
32,Private,67256,Some-college,10,Never-married,Adm-clerical,Unmarried,White,Female,2.0,0,60,United-States,<=50K
41,Private,138183,9th,4,Married-civ-spouse,Other-service,Husband,Asian-Pac-Islander,Male,2.0,0,40,Philippines,<=50K
26,Private,181028,HS-grad,8,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,1.0,0,40,United-States,<=50K
30,Private,85120,HS-grad,8,Never-married,Adm-clerical,Unmarried,Black,Male,1.0,0,40,United-States,<=50K
63,Self-emp-not-inc,113108,HS-grad,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0,50,United-States,<=50K
17,Private,237604,HS-grad,8,Never-married,Sales,Own-child,White,Male,0.0,0,40,United-States,<=50K
33,Private,427924,Prof-school,5,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0,40,United-States,<=50K
36,Self-emp-not-inc,139537,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,32.0,0,40,United-States,<=50K
28,Private,161992,HS-grad,9,Divorced,Other-service,Unmarried,White,Female,4.0,0,30,United-States,<=50K
36,Self-emp-not-inc,68113,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,4.0,0,40,United-States,<=50K
47,Private,132021,Some-college,10,Separated,Adm-clerical,Unmarried,Black,Female,4374.0,0,40,United-States,<=50K
49,Private,104789,9th,6,Married-civ-spouse,Sales,Husband,White,Male,3413.0,0,40,United-States,<=50K
31,State-gov,90067,Doctorate,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0.0,0,35,United-States,>50K
23,Private,87697,HS-grad,9,Never-married,Transport-moving,Own-child,Black,Male,0.0,0,40,United-States,<=50K
37,Private,79142,Prof-school,6,Divorced,Sales,Not-in-family,White,Male,1.0,0,40,United-States,<=50K
22,Private,177944,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0.0,0,40,United-States,<=50K
18,Private,250683,HS-grad,8,Never-married,Handlers-cleaners,Own-child,White,Male,0.0,0,40,United-States,<=50K
23,Private,185654,HS-grad,10,Divorced,Handlers-cleaners,Not-in-family,White,Male,3.0,0,40,United-States,<=50K
44,Private,126453,Assoc-acdm,13,Divorced,Exec-managerial,Not-in-family,White,Male,0.0,0,40,United-States,<=50K
59,Private,89054,Bachelors,12,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,0,38,United-States,>50K
22,Private,218086,HS-grad,8,Never-married,Handlers-cleaners,Own-child,White,Male,0.0,0,40,United-States,<=50K
59,Self-emp-not-inc,196859,Some-college,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0,50,United-States,>50K
26,Private,180977,HS-grad,8,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0,40,United-States,<=50K
43,Private,185534,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0,40,United-States,>50K
33,Private,84520,Bachelors,13,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,0.0,0,40,United-States,>50K
22,State-gov,232910,HS-grad,8,Never-married,Other-service,Not-in-family,White,Female,0.0,0,40,United-States,<=50K
18,Private,177730,Assoc-acdm,11,Never-married,Tech-support,Own-child,White,Male,0.0,0,40,United-States,<=50K
20,Private,107551,12th,7,Never-married,Sales,Own-child,White,Male,0.0,0,40,United-States,<=50K
25,Private,205249,HS-grad,9,Never-married,Adm-clerical,Unmarried,White,Female,1.0,0,40,United-States,<=50K
25,State-gov,213140,Some-college,10,Never-married,Other-service,Not-in-family,White,Female,1.0,0,40,United-States,<=50K
53,Private,143948,HS-grad,8,Divorced,Machine-op-inspct,Not-in-family,White,Female,0.0,0,40,United-States,<=50K
47,Private,103821,Masters,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,2.0,0,40,United-States,<=50K
53,Private,123533,HS-grad,9,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0,40,United-States,<=50K
54,Federal-gov,83230,Assoc-voc,11,Divorced,Adm-clerical,Not-in-family,Black,Female,4150.0,0,40,United-States,<=50K
39,?,101695,HS-grad,9,Married-civ-spouse,?,Husband,White,Male,0.0,0,20,United-States,<=50K
77,?,218272,Prof-school,15,Never-married,?,Not-in-family,White,Female,0.0,0,4,United-States,<=50K
22,Private,93687,HS-grad,8,Never-married,Other-service,Not-in-family,Black,Female,0.0,0,40,United-States,<=50K
19,Private,100735,HS-grad,8,Never-married,Other-service,Own-child,White,Female,0.0,0,20,United-States,<=50K
20,Private,82667,HS-grad,8,Never-married,Other-service,Own-child,White,Female,0.0,0,30,United-States,<=50K
35,Private,188065,HS-grad,8,Married-civ-spouse,Transport-moving,Husband,White,Male,3.0,0,40,United-States,<=50K
27,Local-gov,90023,Masters,13,Never-married,Prof-specialty,Not-in-family,White,Female,2.0,0,20,United-States,<=50K
67,Private,94019,10th,7,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0,40,United-States,<=50K
60,Self-emp-inc,205511,7th-8th,3,Married-civ-spouse,Sales,Husband,White,Male,0.0,0,40,United-States,>50K
58,Private,41175,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,2.0,0,40,United-States,>50K
60,Private,100917,HS-grad,8,Widowed,Other-service,Not-in-family,White,Female,0.0,0,30,United-States,<=50K
56,?,168177,HS-grad,4,Married-civ-spouse,?,Husband,White,Male,1.0,0,50,United-States,>50K
32,Self-emp-not-inc,109772,Masters,14,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0,60,United-States,<=50K
44,Private,136770,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,7.0,0,40,United-States,<=50K
28,Private,128894,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0,40,United-States,>50K
25,Private,102852,Some-college,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0,40,United-States,<=50K
64,Private,202623,Assoc-acdm,11,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0,40,United-States,>50K
29,Local-gov,104635,HS-grad,8,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0,40,United-States,<=50K
19,Private,103986,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Male,0.0,0,40,United-States,<=50K
25,State-gov,164717,Some-college,10,Never-married,Other-service,Unmarried,White,Female,2.0,0,30,United-States,<=50K
51,Private,143150,Prof-school,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0,60,United-States,<=50K
30,Private,198650,HS-grad,8,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0,50,United-States,<=50K
56,Private,140951,5th-6th,3,Divorced,Other-service,Unmarried,White,Female,0.0,0,40,United-States,<=50K
26,Private,222503,HS-grad,8,Divorced,Exec-managerial,Own-child,White,Female,0.0,0,40,United-States,<=50K
43,Self-emp-not-inc,147837,HS-grad,8,Never-married,Exec-managerial,Not-in-family,White,Male,1.0,0,40,United-States,<=50K
37,Private,89175,Some-college,9,Married-civ-spouse,Sales,Husband,White,Male,5.0,0,40,United-States,<=50K
53,Local-gov,176253,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0,40,United-States,>50K
30,Private,204536,HS-grad,8,Married-civ-spouse,Tech-support,Wife,White,Female,0.0,0,45,United-States,<=50K
29,Self-emp-not-inc,207637,Masters,14,Never-married,Farming-fishing,Not-in-family,White,Male,0.0,0,50,United-States,<=50K
48,Self-emp-not-inc,201866,Some-college,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0,50,United-States,>50K
23,?,112610,Some-college,9,Never-married,?,Own-child,White,Male,2.0,0,30,United-States,<=50K
41,Private,124732,Bachelors,14,Divorced,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,0.0,0,40,India,>50K
46,Self-emp-inc,57217,Some-college,10,Divorced,Exec-managerial,Unmarried,White,Female,2.0,0,50,United-States,<=50K
52,Private,102419,11th,7,Divorced,Sales,Unmarried,Black,Female,3.0,0,40,United-States,<=50K
42,Local-gov,176384,HS-grad,8,Divorced,Protective-serv,Not-in-family,White,Male,3.0,0,40,United-States,<=50K
44,Private,148644,HS-grad,8,Separated,Machine-op-inspct,Unmarried,Black,Female,0.0,0,40,?,<=50K
30,Private,124915,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,2.0,0,60,United-States,<=50K
55,Private,148889,11th,6,Married-civ-spouse,Transport-moving,Husband,White,Male,1.0,0,60,United-States,>50K
42,Self-emp-inc,114693,Prof-school,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0,50,United-States,>50K
33,Private,177422,Some-college,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,1.0,0,50,United-States,>50K
62,?,118136,7th-8th,3,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0,40,United-States,<=50K
55,Private,133679,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0.0,0,20,United-States,<=50K
44,Local-gov,123198,Bachelors,12,Divorced,Prof-specialty,Unmarried,Asian-Pac-Islander,Female,0.0,0,35,United-States,<=50K
47,Private,178178,Assoc-voc,10,Married-civ-spouse,Sales,Husband,White,Male,0.0,0,45,United-States,>50K
30,Private,84548,HS-grad,9,Separated,Other-service,Unmarried,Black,Female,1.0,0,40,United-States,<=50K
55,Private,39409,HS-grad,8,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0,40,United-States,<=50K
56,Self-emp-not-inc,134943,Masters,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0,60,United-States,>50K
28,Private,67360,Assoc-acdm,11,Married-civ-spouse,Craft-repair,Husband,White,Male,1.0,0,40,United-States,<=50K
25,Private,158001,Assoc-voc,10,Married-civ-spouse,Other-service,Husband,White,Male,0.0,0,40,United-States,>50K
49,Self-emp-inc,129174,Masters,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,3.0,1977,60,United-States,>50K
44,Self-emp-not-inc,94817,9th,6,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0,40,United-States,<=50K
60,Self-emp-not-inc,150228,HS-grad,8,Married-civ-spouse,Other-service,Unmarried,White,Female,0.0,0,20,United-States,<=50K
40,Private,171299,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0.0,0,40,United-States,<=50K
44,Private,112446,Some-college,9,Divorced,Adm-clerical,Unmarried,White,Male,0.0,0,40,United-States,<=50K
25,Private,153110,Assoc-voc,10,Never-married,Prof-specialty,Own-child,White,Male,2.0,0,18,United-States,<=50K
41,Private,186777,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0.0,0,40,United-States,<=50K
40,Private,118974,HS-grad,9,Separated,Exec-managerial,Not-in-family,White,Male,23.0,0,60,United-States,<=50K
21,?,62107,HS-grad,8,Never-married,?,Not-in-family,White,Male,0.0,0,40,United-States,<=50K
29,State-gov,87397,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0.0,0,40,United-States,>50K
30,Private,85537,Assoc-voc,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0,40,United-States,<=50K
41,Private,157845,Prof-school,5,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0,40,United-States,<=50K
24,Private,226631,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,2.0,0,50,United-States,>50K
47,Self-emp-not-inc,135009,Some-college,9,Married-civ-spouse,Adm-clerical,Wife,Black,Female,3.0,0,40,United-States,<=50K
50,Private,115834,10th,6,Never-married,Craft-repair,Not-in-family,Black,Male,18.0,0,40,United-States,<=50K
33,?,106531,Some-college,9,Never-married,?,Not-in-family,Black,Male,2.0,0,40,United-States,<=50K
47,Private,109119,HS-grad,8,Divorced,Handlers-cleaners,Unmarried,White,Male,0.0,0,40,United-States,<=50K
49,Private,95586,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0.0,0,35,United-States,<=50K
45,Private,112893,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,1.0,0,40,United-States,>50K
22,Private,136069,Some-college,9,Never-married,Other-service,Own-child,Black,Male,0.0,0,40,United-States,<=50K
44,Local-gov,117931,HS-grad,8,Married-civ-spouse,Protective-serv,Husband,White,Male,0.0,0,40,United-States,<=50K
61,Self-emp-inc,216320,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0.0,0,50,United-States,>50K
36,Private,93557,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,10.0,0,40,United-States,>50K
35,Self-emp-not-inc,112619,Bachelors,12,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,0.0,0,40,United-States,>50K
66,Private,196678,Assoc-voc,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0,40,United-States,>50K
65,Private,126647,Assoc-voc,10,Married-civ-spouse,Prof-specialty,Wife,White,Female,4712.0,0,40,United-States,>50K
41,Private,198062,Assoc-acdm,12,Married-civ-spouse,Sales,Husband,White,Male,1.0,0,50,United-States,>50K
25,Private,134827,HS-grad,8,Never-married,Adm-clerical,Own-child,White,Female,0.0,0,40,United-States,<=50K
55,Private,190718,HS-grad,8,Married-civ-spouse,Tech-support,Husband,White,Male,0.0,0,40,United-States,>50K
25,Private,150333,11th,7,Never-married,Handlers-cleaners,Not-in-family,White,Female,0.0,0,30,United-States,<=50K
37,Private,110620,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Wife,White,Female,2.0,0,50,United-States,>50K
33,Private,89194,HS-grad,8,Never-married,Transport-moving,Not-in-family,Black,Male,0.0,0,40,United-States,<=50K
28,Private,197123,HS-grad,8,Separated,Handlers-cleaners,Unmarried,White,Male,1.0,0,40,United-States,<=50K
53,Private,117035,Masters,15,Married-civ-spouse,Exec-managerial,Husband,White,Male,6.0,0,60,United-States,>50K
29,Private,180259,11th,6,Divorced,Handlers-cleaners,Not-in-family,White,Male,0.0,0,50,United-States,<=50K
