variance,skewness,curtosis,entropy,class
-6.7711175,-8.532641781,-2.72736875,1.0878459,1
-0.9210788,3.1161409223,17.9274,-2.0432667,0
-2.2898601,-2.0513115194,-2.04130159,0.3313862,1
-7.0421,-0.3943414964,4.49449254,0.9755005,1
-7.0421,7.360206604,17.9274,-1.296637,0
-2.7649547,2.8215288782,-3.87460203,1.0394819,1
4.3523059,3.1167381964,-3.42067111,-4.1647356,0
2.2704013,-8.5775390945,17.9274,1.5274452,0
-2.491184,-1.255397496,4.69645873,0.0989519,0
-4.3310562,-2.5645213685,2.90264233,-0.4119011,1
-3.6353655,-13.7731,5.5827873,-2.43276,1
-4.2014191,1.9164065759,10.85942201,2.4495,1
-7.0421,-12.6640952095,0.7830419,-3.5671484,1
-5.6762538,-8.2097852725,3.47915082,-0.2774451,1
-0.5676533,-11.2556137974,-2.31837725,-1.9993874,1
-5.4052385,1.8905026566,2.5246472,1.3343058,1
-2.7744745,2.329885434,7.28067046,-2.2568846,1
-0.7421915,1.2587331278,7.7868124,-0.104375,0
-6.8978173,5.3084628489,0.84917377,1.9936752,0
-0.816349,3.862780445,-2.26009281,-5.6774142,1
-0.0541721,5.7850990968,-2.71690305,-1.0016259,0
-5.2169762,2.3260940237,5.20398784,-0.0937737,1
0.03253,0.3892305991,6.54447544,-0.6118505,1
2.1523631,3.0963995577,-2.96343714,1.7361935,0
-1.4481462,5.097776096,-0.80990443,0.5816191,0
-7.0421,-7.6918225779,5.33898507,1.0628529,1
-1.5323975,5.1193928045,-1.92302894,1.8695893,0
0.9764218,-5.7635823182,13.70066659,2.4495,1
3.1143526,1.2724196458,17.9274,-0.9285578,0
0.2272794,5.3451184062,1.37947431,0.8656075,0
-7.0421,-8.8020767681,7.18572006,1.11696,1
0.6934975,2.9916734323,-3.51983646,-0.7892101,0
4.7662872,4.3822106602,-0.43580842,2.3086903,1
3.7633381,-9.6436925028,5.04141587,0.1281455,1
-6.3717884,-2.7710265705,6.96857709,1.2107093,1
-0.2458555,-0.8956176827,16.28103106,-1.7587591,0
-4.0875425,5.2067553774,-1.38646443,0.162406,0
4.1525746,-3.2144364297,3.25541652,-2.3818404,0
0.42189,1.3123167532,5.70621544,0.630447,1
1.0257859,2.0751743644,3.25574099,0.0169983,1
-7.0421,-0.9070681106,5.73639604,1.2518153,1
-0.8947981,11.4426901149,4.56619338,1.971398,0
1.8865622,3.0773929058,9.62167744,0.5565574,0
2.6106705,1.1118710772,-0.80730848,1.1067049,0
-3.6638872,1.1213673551,2.79604238,-1.1281114,1
-0.5947894,-9.7980791918,6.17301753,-1.3331099,1
-0.6204486,7.7402698611,5.78189978,1.6365442,0
-5.1959103,0.5787366139,5.19212011,-2.3758542,1
2.9300352,2.7893285725,4.51068942,-0.6061025,0
-1.5303042,2.4281699954,5.04370559,0.8301591,0
-4.0773007,-6.6414729561,12.91680211,2.1822973,1
-3.2155979,1.610985272,-5.19838075,-0.1671843,1
2.7638189,9.5037941701,17.9274,-0.8488114,0
-2.6727526,0.1073404583,1.83747235,-4.2904802,1
-7.0421,1.2886926807,3.44347103,0.278539,1
3.5637133,10.3804025613,-2.0259703,0.1972104,0
-3.6832778,-0.1200934147,11.18687144,-0.0920515,0
0.5073839,4.301863723,-1.20719835,1.9385083,1
3.3673022,6.4647387444,1.77918478,-1.8419376,0
-0.2467023,3.0409704628,1.64805016,-0.6973421,0
-5.8094674,3.1846296463,11.01449544,1.8177607,1
-0.6800415,-1.3935382417,8.39325283,-0.1965186,1
-0.2867761,0.8352135292,3.61182805,1.7265284,1
1.4143855,-1.4163051391,1.4866683,0.9882279,0
-4.4883228,2.54501589,3.4836164,-1.6261916,1
-0.6828132,0.8305778713,3.69642468,-0.0063855,1
-7.0421,4.460835973,11.55447531,1.1554146,1
0.4877312,0.6994720637,-0.93078747,2.3877012,1
2.682491,3.3941620827,3.50840634,-1.9620428,1
-5.7595569,10.9827787843,-1.6827439,1.4698778,0
-2.6596674,0.8585808501,0.28814807,1.2327601,1
