variance,skewness,curtosis,entropy,class
5.9165276,-2.9310418367,-2.6996979,-0.6913704,1
1.724107,4.4359196238,0.08392673,-1.3849024,0
1.9973693,-4.8030291833,-2.88882471,-0.053088,1
-0.8939348,-2.8765384749,4.74443887,0.6709163,0
-0.0926987,0.248525937,-5.00117153,-8.251558,1
-4.6336548,-8.9381525797,-1.38558974,-1.5004096,1
-1.9372635,7.4003980082,-0.63982559,1.3889976,0
-3.6623274,-13.4337227772,1.83216952,-6.8406508,1
4.6863217,-0.2296383862,-5.2861,2.4495,0
2.8335992,9.5585215272,-5.2861,-0.9532317,1
5.5163161,-5.1914168258,-5.07774985,-0.2782309,0
0.0802206,6.7581494899,9.07452925,-7.2097515,1
1.4258104,-2.0906426326,-3.60472357,-8.2402639,1
1.2503365,2.1752182951,-1.56949737,0.1778839,0
1.4816211,-0.2733641216,-4.85039319,0.0038704,0
-1.9289866,11.595939232,2.96891584,-5.3916405,0
-4.6580495,-0.5787491135,-1.87508229,-0.8983039,1
3.2187688,2.5276449455,13.66348372,2.2349811,0
-1.7656148,5.1923834749,14.39582653,0.131314,0
0.191605,-13.1222602356,-4.60437858,-0.554074,0
3.9583229,10.1356071249,-0.78130687,2.4495,0
1.6039059,6.8756773543,-5.2861,-0.086938,1
0.4752879,8.615431931,0.94046169,-0.1370356,0
2.81462,-13.6294609941,-2.11691304,-0.6363842,1
1.852706,-10.064949077,-4.96081025,-0.521112,1
4.5090377,5.0382921293,-4.3892958,-1.414786,0
2.1428016,1.7727702822,-3.08518941,0.8014161,1
6.0746101,10.4265523325,-4.40461825,-4.4832908,1
0.9730352,2.893874921,-5.1609887,-1.5481782,0
6.6082196,-1.5519921211,13.89211485,-2.8525035,0
1.6838183,-13.7730790031,0.1967043,1.2877702,1
0.8655612,9.0936536326,-2.55999441,0.0885378,1
2.8001791,6.395632751,-2.06274671,0.1627661,1
4.3092478,1.998407929,-1.89896872,-0.0955504,1
2.2564312,-13.7671130286,-2.23786389,1.2812184,0
-0.6407815,7.0905339253,0.20728808,-3.1275957,0
1.2807325,0.8842916458,0.82124371,-3.4649797,1
-0.6213336,-2.2177516461,-4.72911685,-6.7667449,0
-0.3677237,3.9333744159,-1.91324163,-1.3785519,0
1.2083893,4.8040185367,-1.64346265,-0.4638404,0
-1.5071404,2.800868795,-5.2861,0.1111142,1
-0.7241187,-0.897414128,2.45402474,-0.9548341,1
5.7026844,5.6177342304,-5.2861,-0.6952609,1
-6.6760416,4.2341479879,5.40787364,-8.5482,0
3.1434832,2.5604888194,4.22330233,-6.4960404,1
3.3858703,1.3977721085,10.66888589,-2.5875074,0
6.4048135,-6.1080972507,-3.94157953,-2.5353045,1
0.745691,-0.4447862014,0.71275856,-1.5409237,1
4.3897538,12.4488209628,-5.2861,1.1316881,0
4.4520054,-3.1822688781,0.42566409,-4.985067,1
5.9251686,5.3244869785,5.16769407,0.4837073,0
-0.3510134,-13.7729697499,-5.2861,-2.3379743,0
2.5710845,1.3123518432,-5.2861,0.6798252,0
2.2811302,-1.5617566478,0.90648671,-3.8839131,0
4.2652994,11.9738903528,2.58919358,-0.773022,1
0.3186198,-3.6250055589,-5.2861,0.3558067,0
-2.9231416,-7.147612383,-1.59287818,1.5845576,1
0.8668526,0.9852789876,-2.28202516,1.5265613,0
3.1971631,-1.441614738,5.24934165,-0.8878428,1
1.938983,2.3293692107,-2.04724049,0.078552,1
6.3194152,1.1743614768,-1.59629537,1.1470079,1
5.1893946,11.0816743667,-5.2861,-2.3339543,1
1.5206807,5.9861974232,-3.05125924,1.0766281,0
-1.5584133,0.9586564171,-2.30666267,-0.1720105,1
2.5378664,1.4480659327,-4.26706417,-0.7478993,0
1.754116,3.5580157447,1.84561666,0.087318,0
-1.1543327,5.9754486522,-4.4938861,1.2147067,0
-4.2086993,-0.2218959491,-4.93610509,1.2250785,0
5.43125,0.3431547201,0.18936263,-1.4808771,0
5.6661635,8.0549933372,-3.86597069,-0.1487155,0
-0.3480022,-13.7677980104,1.0307965,0.6488957,1
2.1381385,8.4373437554,-0.5656218,-1.4801554,0
0.698159,8.3049670213,4.01695662,-0.8822579,0
-2.2755442,-13.7560201899,-4.05168705,-2.4030084,1
-2.4299077,10.8880851011,-3.01475698,0.8117462,0
1.7461019,-2.6374337058,5.63677693,-1.3245508,1
-3.7956175,-4.5446429165,-5.2861,-0.727514,1
5.052967,-4.5790220496,10.26251783,2.4495,0
0.9533661,8.0488688261,14.82672108,1.008886,1
-1.7706871,-4.3987434029,-3.22145467,2.4495,0
-2.701533,-13.4489077692,0.61785744,0.930136,1
-2.2754139,-7.4859120102,-3.84803169,-0.7354165,1
4.5509549,-0.3564647497,-5.2861,0.2893314,1
-6.643738,-3.6577496859,3.17522155,-1.0550636,1
-2.2655009,-11.1710701978,8.0911657,-1.8817606,1
1.3965892,-0.8080744744,5.73486301,-1.1903897,1
4.1554882,4.0097965403,-1.64561355,-1.3287995,1
4.2805284,2.2665292668,12.25557702,1.4399464,1
2.6738458,4.970155163,12.67747685,2.2002443,1
3.3548441,0.4960036932,-0.72134891,0.2961135,1
-0.9436676,11.3012172941,-5.2861,-1.5189385,0
0.1714541,0.3653329957,-2.66589407,-2.5014454,1
4.5971374,6.7218637473,-0.95023681,1.4650872,1
2.8447133,-5.3048783824,-1.02771758,0.5410209,1
-5.5220383,7.5517846319,-2.28621679,-7.0700043,1
3.9512062,-1.1273213723,2.17064422,-0.1918943,0
-4.3556945,-10.7671314583,-2.07003449,2.3897787,0
-0.4190486,-13.5985671809,-4.33720549,-1.6135497,0
-4.1738629,10.0053865986,-3.97115394,-5.5382219,0
0.1810865,0.8645987748,-1.42270122,1.010834,0
2.8466919,-9.1407413285,-5.2861,-0.3730247,1
-5.8242754,-6.9490482816,-5.2861,1.3946155,1
2.5417493,1.0046120423,8.59889591,0.6333549,1
-6.0267323,4.798410477,-4.82066166,0.7649466,1
5.491905,-9.8646446482,-1.97016247,-0.7110347,0
0.0785122,-9.0795086911,-4.38476545,-5.339473,1
-0.1342886,-1.2158062359,17.9274,-3.2679126,1
4.9240284,-3.7241169933,0.53727768,-0.6162591,0
1.8310787,3.4824616784,-1.28834566,0.5290049,0
-7.0420727,11.0450505049,2.34985822,-6.2965446,0
1.3846326,12.5738560342,4.39653625,-1.6532408,0
3.0885224,7.862911026,12.59959692,-1.5173816,0
3.8144481,-13.5870184867,-0.65056363,2.4495,1
2.0404142,8.3769640869,-5.12943059,-1.1226697,0
-1.403236,2.9300458047,-3.02673775,0.2812006,1
-0.127459,-8.4914817576,4.80709635,0.0692974,1
5.3772389,10.341389546,-1.51318573,1.2036419,1
5.3247082,11.757571466,-3.81759577,-8.5482,1
4.2303259,-6.4777215943,-3.01898846,-7.1034651,0
4.4140673,0.8086258942,0.09081037,0.1488824,0
1.7937926,-13.593791592,-4.85840566,-0.3681624,1
0.9132948,3.2466190109,-1.15128349,-6.7988168,0
0.7089703,-0.6712439069,-4.26431085,0.1904185,1
-2.645032,9.9556860667,-1.82300826,-3.7006863,1
3.8211494,-2.2236181386,3.84937755,1.9565626,1
6.110353,5.256208362,0.20605487,1.422975,0
1.2782612,-13.6996491632,-0.96570358,-1.3291591,0
1.1784339,-9.1734341587,1.07028907,0.6105699,1
