variance,skewness,curtosis,entropy,class
-3.9328013,-6.877937463,5.92141804,-0.2587724,1
-1.7280105,-2.3140221539,6.21078121,0.2857372,1
1.6329824,3.5885698372,2.35811573,-0.8178369,0
1.2011652,4.0366933581,4.31426799,-0.8988302,0
2.4958695,-5.4355887278,7.72754443,2.4495,0
-3.6459301,3.2221203293,0.60800247,-1.6547121,1
1.2532499,5.5260108349,3.97445958,-1.2196068,0
-0.3670549,12.3884704999,-4.4236576,-4.1228645,0
0.1256174,-7.6867397749,12.80455653,2.4495,0
1.2743848,-1.3014422966,5.93370701,0.4269789,0
3.9610716,4.397076914,1.66313364,1.3825326,0
-1.9275551,4.3354290532,-1.15290423,-3.3626901,1
-0.5804856,4.6719331608,0.33529335,-1.2883466,1
-0.7579117,4.6864300561,2.11970131,-0.6989166,0
-1.3089294,3.0525218723,1.8020515,-0.4932724,0
-0.4177106,-3.5680233843,7.78195261,0.1491614,0
0.8499459,3.4136146533,-1.29873115,-1.4435366,1
0.4967267,4.4554190769,0.150057,-2.8281207,0
-1.1831673,-12.9465433271,10.79007858,0.3184757,1
-1.8379901,9.4907780033,-2.83373281,-3.018869,1
-1.5792619,0.8110074529,-1.09718233,-1.2453542,1
-2.6792849,7.8590445243,-1.33593774,-2.2069772,1
5.8268052,-0.5775961217,2.25580113,1.968854,0
3.7581774,5.0674818619,2.8075291,-0.4344245,0
3.3251869,11.8010698804,-3.4164924,-2.1080213,0
0.7610131,-2.4554642427,-1.4066158,-1.7969628,1
-2.9736113,-0.6241172395,1.67312887,-2.9985856,1
0.5898995,2.5859079605,4.11755223,-0.2150699,0
2.0616743,4.8345488876,1.20562848,-1.5184778,0
0.8500972,-7.2601217852,0.91424792,0.2932155,1
-5.7932025,1.8603140631,6.54125966,-3.440776,1
0.6424435,-0.7391845657,-1.56145901,-0.7481928,1
-1.1291719,-2.7248442251,-0.45207573,0.0823584,1
-2.9384359,1.9434549405,-0.1629026,-2.408088,1
2.3399083,12.2821201976,-4.10949413,-2.167275,0
0.3984893,4.4120208693,3.82412426,-0.1761109,0
3.326729,6.489975617,-0.0898699,-0.522292,0
6.619037,11.099369568,-2.58607143,-2.4406309,0
2.7649435,4.5406808485,-3.42514794,-1.6768411,0
0.2199688,4.6030817422,-2.34137854,-1.4494625,1
-5.365825,-13.0522300221,13.94093313,0.975441,1
1.7353424,3.0344326907,3.20346781,-1.0183212,0
0.7643215,4.2338199222,5.26565297,0.1976501,0
-3.8196189,-3.246668234,6.68246237,-1.6974278,1
0.1945575,-4.6621677682,2.96223745,2.1028904,1
2.5924136,-7.6544498955,12.77569466,-0.6038515,0
2.9405673,3.6279813587,0.42536008,-0.9228856,0
-1.0409652,-7.5072083787,2.41453616,-0.1299902,1
-0.9116782,-1.082662001,3.23571622,1.3783188,1
1.528725,1.6401222486,0.10516017,-0.1734882,0
-1.6418803,-0.6912173948,5.06133037,-1.499203,1
0.4912413,10.681270648,-0.0193077,-1.3824883,0
-2.5454135,2.4559016813,5.33534326,-0.5546081,0
5.7363258,12.843600176,-4.58559465,-4.5052848,0
1.0533612,-0.876004937,2.73333587,0.4592878,1
-2.1859932,7.7517707436,-0.38801891,-2.607321,1
1.7436134,5.0271455074,-1.29891271,-2.5162174,0
-0.7188773,2.4858057962,0.1029092,-0.0613562,1
-2.996167,3.12873907,-0.93335928,-2.9707448,1
-0.8122797,-0.8789675168,1.27438266,1.3523081,1
-0.0023554,5.8693108838,-1.82638385,-0.3980348,1
-0.1525769,4.0308630417,1.13520996,-1.0509031,0
-2.2265367,5.9122521516,-2.91801261,-5.0252363,1
-1.2246745,-7.7112330018,4.39182446,-0.9788313,0
0.1925485,9.1116684141,1.2972844,-1.2343436,0
-1.5936592,-5.0871015717,2.77182036,-0.9809267,1
-1.8400176,-12.0597209977,17.9274,0.6033676,1
2.4531183,0.6489307186,3.19947891,1.9366513,0
-2.3715037,2.2233629737,-0.39418202,-1.4520763,1
1.7756888,11.2547966671,-4.34187562,-2.5162421,0
-1.6185521,-8.3506348128,11.23408761,-2.5252104,0
2.2015782,5.3108599592,0.11706398,0.0585664,0
4.1111789,9.7420065428,-2.79395269,-3.1391214,0
4.3580488,8.1906531863,0.88766688,-0.7110252,0
2.2823113,-7.173190434,2.16298503,-0.0333611,0
-1.1384515,1.5844057674,6.33177897,-2.1018364,0
3.5906415,2.1107773589,-1.10384232,1.4384419,1
2.6351246,3.0767351127,-2.77406819,0.3841335,0
-3.736764,-9.3096114524,8.54587305,0.2522861,1
-2.5045664,6.6587001974,1.71212712,-2.0455752,0
0.8963062,4.4789535399,-1.76306495,-2.4950624,0
0.8505381,-2.6592629247,-1.30680569,-4.2699306,1
6.1513654,4.0377837591,0.072757,0.058523,0
-0.6905881,4.0476860496,1.14387989,-0.7669802,0
-2.9335498,2.2508439808,5.03777468,-1.6571203,1
2.4689553,-5.1795807922,4.62978399,0.4055366,0
4.3690724,-3.2595762658,1.29780668,-1.4847774,0
0.3892468,5.0775206862,-1.07988329,-0.8057178,0
4.8197149,9.8098932858,-1.16565812,-1.9575016,0
0.9184637,5.6617118423,1.37302177,-2.1958579,0
5.9754802,-1.7054758368,0.88342969,1.8399303,0
-4.0187011,-1.7966052329,11.00736467,-4.1580707,0
1.8958841,-0.2378232779,-1.60827304,1.8177692,1
1.4204225,6.5934242258,2.49313482,-0.1236397,0
-5.484435,6.5862368442,5.89050663,-3.9996322,0
3.3817877,0.079192586,-0.8314302,2.0547306,0
2.3812309,-2.4341641407,3.98126575,1.0903274,0
3.1009874,0.5797560442,6.95650353,1.2831555,0
2.7761938,0.2762366147,-0.62173483,-0.2367853,0
-0.8449749,5.7050495988,2.79437334,0.6934221,0
-1.2033472,0.8897494296,0.12272258,-1.5138576,1
-4.6044368,3.5548006237,1.98877792,-2.4845987,1
3.4862177,3.5372210764,6.59472606,-1.9675219,0
-0.9227329,10.1617180301,-1.30167592,-1.4785207,1
0.9887191,-11.079654535,6.83531586,0.5540947,0
4.9653801,11.3305117073,-3.82467138,-2.1142039,0
0.2875393,6.8872671331,-2.42489736,-6.1419958,0
-0.3230539,2.6903630178,0.47689813,-0.8716557,1
0.1064634,0.9502027169,0.85393585,2.4495,1
-0.9946308,-7.044859416,5.03686409,1.9339264,1
2.4685528,8.1557645149,-2.1477576,-4.8425773,0
-0.5460503,7.9445290951,4.78309618,-3.0596956,0
3.7618208,5.9748996616,-3.22547837,-1.5959974,0
0.8037068,6.9671853446,1.17811416,-2.0274385,0
-4.5581395,-0.9847882141,6.2686189,-0.1901627,1
-1.1336598,-5.1126988189,-1.45602638,-1.2938063,1
4.22408,6.0699111224,-3.23348636,-3.3502969,0
2.1563317,-6.3453812495,0.66571595,2.4495,1
0.8326849,-4.9231386689,4.87720074,-0.2833367,0
0.5164806,-9.8929829803,5.82240684,2.4495,1
-0.3205516,-5.061583935,5.78876189,-0.6774721,1
-0.7835969,-5.5878928694,3.22605785,-1.5534691,0
5.340979,12.9323376604,-5.04075814,-6.6010234,0
2.4890446,11.6729826841,-2.62152675,-2.9716406,0
-0.515275,7.9116000249,-3.0365163,-3.0563877,1
0.9008027,3.0962471205,-0.57406163,-1.3871822,0
2.9482473,12.326185806,-3.98822279,-2.864205,0
0.4511144,-3.6203569111,4.84636342,-0.1662863,0
2.6579113,4.329342477,0.98788931,-0.0857327,0
1.8812964,10.4398420615,-3.03919176,-2.2729583,0
-5.3045935,-1.2694342357,5.38401155,-0.3674227,1
1.3424954,4.0621245859,-1.36543597,-1.2242748,1
2.088292,5.8293397728,-0.80887313,-2.6302026,0
-1.1793144,-6.1177533389,12.14012686,1.0401532,0
-1.2682626,2.9785784034,1.57814015,-1.916641,0
4.9254997,-0.6541221284,0.36385034,2.3242292,0
1.2393338,-5.060512561,10.87298221,1.5301007,0
2.3056008,-7.3469792745,3.40420148,2.289144,1
5.5117054,12.6328946055,-3.50114761,-1.6029948,0
5.3198793,-3.5532235518,4.49248398,2.1719296,0
3.1239624,1.8375825297,-2.71916963,0.4519323,1
2.5572838,5.7645181537,4.82010551,-1.1177387,0
-0.4247575,2.4450586611,-0.79535426,-2.249612,1
4.2860295,7.5637833196,-2.22505541,0.8280418,0
0.1454301,-1.9759554746,2.39332695,-0.9015417,1
-2.6020355,0.1202765923,1.09041127,-0.206811,1
3.6614895,-0.5643657535,-2.25606087,0.9519079,1
-2.4365266,-1.5218062044,2.23297423,-2.3589203,0
0.4825569,6.4767390741,0.1543272,-3.0789963,0
-1.5741695,-0.4022846217,9.36706858,-0.8453278,0
0.2276739,-8.410585042,4.83604098,0.5818609,0
4.0360515,-1.4310061261,-2.11834354,-1.5678223,0
-0.6693379,7.8436152874,-4.20022017,-6.5966324,1
5.0521717,6.2773319489,-1.2131465,-0.4715344,0
-0.2136813,4.6362342968,-0.42476926,-2.0148203,0
-1.3315167,7.9460174453,-0.25965492,-3.554682,0
-1.8632408,10.4998416883,-3.30983578,-3.2012746,1
1.2496699,9.9473906216,0.06220023,-2.1214136,0
-1.7563,0.2246593015,1.50083468,-0.3348234,1
-2.197413,-1.6649789647,1.8771206,-1.8526204,1
2.4279205,-1.9892345534,3.59476007,-0.8293122,0
0.6937559,7.446384571,-1.09044124,-3.5911357,0
1.3961669,5.6333097604,-1.93736071,-1.9250511,0
0.3939958,-13.3397098646,17.9274,2.4495,0
0.3782578,5.8068540818,5.23719121,-0.9301808,0
0.0134588,1.4991888713,0.05332171,-2.1209901,1
3.5420797,5.283346978,3.4281529,-1.6030075,0
0.4418715,0.6279030326,2.43441162,-1.7032557,0
-4.4785868,-3.7773059226,4.6561053,-1.2409424,1
1.3524514,-1.3100893187,7.78970498,2.4495,0
-6.497963,0.4211324343,2.44935509,-2.4174868,1
-3.6172968,7.3923726131,-2.45307295,-3.1033095,1
1.229764,2.0764013344,0.01230519,-1.1616625,0
-1.3226445,-0.9733462146,4.85664766,-1.4254602,1
4.3625653,8.8848106046,-3.48311778,-3.7149996,0
4.4962807,6.0732260499,-1.66623231,-1.3484705,0
0.3904033,0.8195678094,-0.34948782,-1.4943304,1
1.8927642,5.118869537,-0.61719218,-2.0219523,0
-0.1589983,5.5318085894,-3.67772824,0.024134,1
3.8129781,-4.9125520786,7.48673885,2.4495,0
4.3833682,-2.0853864832,5.39500793,1.2869658,0
-0.457233,3.3955114919,2.35496823,-2.0861386,0
4.5134118,-2.9770420253,3.79262989,1.8942634,0
-0.0072455,7.1118311067,0.23118384,-2.6681039,0
0.3074671,-0.5767855597,8.62104811,0.8139822,0
-0.6408284,-0.0433538393,-2.11411014,-0.3587998,1
0.8721643,8.5410896304,-1.9807635,-3.4685794,0
0.1147313,-9.6256450139,9.9648084,-0.4220479,0
-2.3581777,10.5576972196,-2.85114019,-5.1746891,0
-1.0480399,-3.5342782545,12.98416492,0.411492,0
0.5881939,-0.5711784793,2.35535808,-0.7027061,0
-0.1596488,5.3599451603,-1.02889287,1.1619579,1
-0.5923414,4.6971260428,-1.09478409,-3.3691585,1
-4.3557802,-2.6393002731,3.46372754,-0.9004501,1
0.4873556,3.942026492,1.26885078,-1.3082713,0
4.454815,8.4328234975,-5.14964204,-1.9638979,0
2.1551808,9.9531235639,-5.2861,-5.7095229,1
-0.6728565,1.898575343,1.48840038,-0.6904574,0
-5.0090049,6.616365114,0.98770909,-3.6783404,1
-4.7352405,0.7835215775,-1.77872154,-2.5440366,1
1.8726973,3.5818451277,-1.38632441,1.3898343,0
2.6861182,6.0663334643,-1.39432593,-1.4292811,0
0.9806305,4.3498828366,-0.3894912,-1.7231328,0
-2.8418388,-6.1411922662,8.31265634,2.0242151,1
4.919277,10.1130743047,-4.30100383,-1.0013891,0
-6.0126175,-6.5379450137,4.06278429,-1.1080469,1
-0.2195233,4.2410238061,1.77072074,-5.1932146,0
0.1912879,4.7053831003,-2.85791341,-3.2911621,1
0.3713474,-6.6818924299,1.46996436,0.0272857,1
0.1171194,-11.1475351893,10.58035521,2.0149816,1
-3.5243361,8.9994636603,-0.23710584,-3.5037198,1
1.4317869,6.5845085133,-2.6851894,-5.0958347,0
-2.6162778,-8.7553458578,17.9274,2.4495,1
3.4915272,-6.4099973017,1.53791126,2.4495,1
-0.5115194,3.4653378451,1.92073968,-0.4115385,0
-1.7095013,2.4878310314,0.09062501,-2.4060264,1
4.3897555,3.4588816436,-2.52248007,1.3607782,1
4.3052993,0.1111981896,-1.31590661,-0.1996468,0
-0.6738645,10.8225098941,0.02760661,-3.4104703,0
1.4867112,-2.1217970915,2.30750971,0.1944694,0
-1.2538161,-1.9996896436,4.02361907,0.0053735,1
3.8857734,-4.7030218238,2.00246031,2.4495,0
0.40006,5.9801158512,7.37161903,0.7715245,0
0.1000276,-2.5746307621,9.0318715,2.4495,1
-0.6255157,-0.6001328063,0.65648464,-0.5967879,0
0.893709,2.4143771138,1.74745463,-0.1207618,0
-0.7156323,6.1169739817,-0.97285238,-5.968627,0
0.7798654,4.3003140251,0.73142386,-2.3531179,0
-0.2030775,6.2834438237,1.90615848,-2.493795,0
0.3127045,-0.750877236,0.80900211,-0.2139943,0
-6.8403286,5.0919837665,1.84984375,-2.6229962,1
2.1191185,7.6826864234,1.14675496,-0.9746771,0
-4.8204824,-2.4995843864,-0.10820476,-0.9953981,1
4.8810114,-3.0874433579,-1.48031017,0.0281965,0
0.2842983,-4.2022623292,6.02636239,0.3665511,0
-1.4942097,-5.1243460394,11.43152983,1.0177436,1
-2.7142108,1.6149548724,3.25133973,-0.6851409,1
-0.8734478,8.3717747764,-2.75100831,-0.922523,1
-0.3493727,4.7467620255,3.86721613,1.0461918,0
0.4682424,-4.0695157472,-0.57619966,-0.5167418,1
5.7478235,3.0011569522,-2.66733775,-1.3497109,0
-0.6232147,10.6712533597,-3.85782933,-6.1078707,1
0.0004928,1.6625169607,6.31961654,-2.9067886,0
3.9723835,1.7367220612,-2.03364667,-0.4822103,0
2.1791138,8.1183144357,-0.66046066,-0.699694,0
0.8398749,1.4327092752,-0.77570316,-1.6356987,1
-3.2427845,8.9695099276,-0.28899574,-2.0248554,0
-2.761701,0.3701398305,5.08124556,-2.6812668,1
-0.6781688,0.5968155734,1.70370021,-1.5958849,0
-4.0869622,-0.2106148049,4.22720636,-0.2670083,1
2.2870051,5.5690212137,-0.18241244,0.237947,0
1.7227699,-2.0258315975,1.84218459,0.0993238,1
-2.7909742,1.9168184369,4.87150952,0.2800275,1
-2.1068826,3.0585508105,1.2919564,-0.2632564,1
-3.6717073,-1.7917113899,2.36103708,-1.5314259,1
1.7342501,3.3140851661,0.22882227,-0.5977419,0
0.0599792,-4.169438512,-1.9751381,-1.0207823,1
4.4185208,8.6217032332,-4.09250245,-1.7794475,0
-0.7648418,0.6458458801,-1.13811953,-1.8932749,1
2.5917982,-2.3249339542,2.29145073,1.6323183,1
0.8407214,-3.0827789751,4.33269584,1.0741142,0
-0.7876729,1.168199823,0.29543417,-0.7643391,1
0.0443746,-1.6072657315,-0.00679016,-2.0542574,1
1.9838286,3.3611709763,1.65857381,-2.0271929,0
-4.568787,-9.9351243699,12.31912318,0.7818819,1
0.8558647,0.3528163884,-3.06316829,-3.0871176,1
4.9816066,10.3871032694,-2.04710865,-1.5663563,0
-5.4181894,10.1950221449,0.2218026,-7.0269472,1
-1.1523551,9.5757890123,-1.174618,-2.0756444,1
-2.8959162,12.2811829152,-4.91012747,-5.2500588,1
3.2509729,0.5689956471,2.40508041,0.2030271,0
3.9263193,3.0803605187,-3.08083461,2.4495,1
2.1197315,-7.6619903108,10.46803172,2.4495,0
-2.6539644,-1.1618527605,0.05268655,1.1143779,1
4.6727739,11.1528177863,-4.55161504,-1.5909423,0
-0.0527186,-3.838824638,8.28519229,-0.268599,0
3.6162536,-3.0383077071,6.00659557,2.4495,0
-1.5990782,0.6377767912,2.70744723,-2.1534537,1
4.5602541,9.5411178215,-3.85357029,-2.4959054,0
-0.4859782,3.1099125517,2.86062469,-0.0993883,0
0.9700245,0.4579407071,-2.12233955,-1.3995088,1
3.089043,-1.0493205629,-0.64345662,-0.8386816,0
1.3258984,10.2074657977,-3.61202151,-0.9194473,1
1.0065872,9.5809773948,2.34826651,-1.7433745,0
-1.9982966,-0.157529156,2.77218599,-0.9946291,1
0.4844733,3.0835726127,-2.75937011,2.4495,1
0.6529535,-4.7172718448,2.77957622,1.6822686,1
3.8980484,10.1803369187,-3.0371152,-0.2154784,0
-2.3836659,-2.3278672797,2.80624712,0.2065846,1
-2.8123504,-4.972911801,17.9274,1.5799356,0
2.0381453,-6.4254286586,3.34501928,-0.3613776,0
0.8972764,2.4052036146,-1.99239993,-2.5729124,1
-1.5946911,-4.4720825918,6.79396973,-0.0887942,1
-0.6647743,4.5821451767,0.39934298,-3.0398604,0
-3.1563553,0.3817245511,0.53825505,-1.4467403,1
-3.1516393,-1.041390058,0.75868989,-1.7903741,1
5.3761845,6.003821078,-2.96175283,0.9964696,0
1.6687515,6.4603437343,0.18426875,-0.2494454,0
-0.5970793,-7.1999752108,5.86762821,2.1308591,1
-2.1984691,-2.5448692856,-1.96938611,-2.6096748,1
1.9911667,-6.2197261987,5.03552672,2.2739073,0
0.0314373,5.2237050062,2.42023706,-0.2908749,0
3.3483406,9.095591138,-4.59446265,-1.0816376,0
3.9754797,10.9140525632,-2.29426924,0.054096,0
0.4545963,7.757737705,-1.25650738,-6.4299241,0
0.7396365,5.2831992013,-1.82444026,-2.4433821,1
0.4992541,4.8852890264,3.33948698,-0.3350882,0
-1.2386825,7.5905124599,-3.16955617,-3.0651131,1
-0.3302,1.7826744208,-2.49871841,-4.4371459,1
-1.6843753,-9.9071690504,13.87217228,2.111259,1
-1.3064676,5.1421012879,-3.73557114,-0.8775487,1
2.6762739,-9.9679143904,7.93862859,2.4495,1
-0.7179837,11.7016547224,-3.62076428,-4.9041571,0
-1.320512,2.3875172694,4.17888453,-0.3660838,1
3.0980354,0.8618530006,1.84500905,1.1646114,0
-3.5279323,2.0089438948,2.66355233,-1.143128,1
-2.6996108,-12.9625081063,5.3656498,2.4495,1
-1.9437513,-7.2362348385,1.36788315,-0.9049712,1
-3.3867134,-5.4341557967,4.3810522,0.0492482,1
-3.7238101,3.2653306538,8.07399989,-1.2561659,0
4.7613107,9.7848864808,-4.8213438,0.6977362,0
1.4162031,9.4364589573,-4.95666638,-4.9255378,1
0.4499202,11.1674243145,-2.23689548,-2.2541832,0
-2.8234299,-2.9263543846,-0.48011615,-1.0680952,1
3.2478004,10.5412654863,-0.46235828,-1.4170671,0
1.1246246,-0.6777646804,-0.50212159,-1.3628036,1
2.987577,3.0000171003,0.89305652,-0.3250736,0
5.5900747,10.7521916457,-4.99415612,-0.3442714,0
-0.8900383,-0.4094077518,1.23931435,-1.6619458,1
3.5804963,5.8524390007,-3.63029595,-2.5021166,0
-3.4737836,0.5594152701,-1.28727054,-2.3010369,1
3.4650819,0.2318312958,2.74337491,1.1698485,0
-0.4138786,-4.3336760484,4.75498476,-0.0188498,0
3.1671137,2.2447604447,-1.47117319,-1.0524254,0
5.1402784,3.4354995909,-1.01793949,-1.0016404,0
2.6240542,3.2416907202,-3.29212356,0.5004691,1
5.2416081,3.5712976413,-3.02412791,-0.3399879,0
-3.5470477,-5.9442356627,6.44365072,-1.0115254,1
2.808535,1.6160978407,-3.45375989,-0.8535825,1
-1.9079528,-12.956157512,9.37609821,1.434579,1
-0.571718,1.8424232601,2.59736601,-1.9694333,0
-2.7188335,1.1136918694,0.38784937,-1.0519061,1
-3.5838565,-13.0255672931,13.55980007,0.9830038,1
0.0633936,-7.1818407572,8.09500517,-0.1364946,0
4.4907877,-0.5156142138,-0.49980094,1.8126576,0
-0.5665519,-0.508012009,5.28657262,0.560248,0
-0.5298202,7.6491002955,5.65291757,-2.8920638,0
-3.2824376,4.5089673212,-1.29158102,-2.2367668,1
-0.6988543,-2.1440380909,-1.06214028,-2.0653408,1
-3.8178453,-3.0993772725,6.21520179,-3.0501516,1
-2.6713136,-4.5169039026,4.11713904,1.1366985,1
2.4863954,3.3143051245,-2.03299861,-2.4303275,0
3.9354125,10.8090387273,-5.2861,0.3085802,0
-2.5313985,1.4338595429,2.05887437,-2.302833,0
-0.4599646,1.1420092772,4.27134415,2.4495,0
2.1944368,0.4111653934,2.54164154,-0.9632811,0
-2.4965733,-7.3531596363,10.37088583,-0.7251827,1
1.5437859,3.6401388308,1.264661,-2.7784254,0
-1.7956901,10.8300426468,-1.43353791,-5.2837661,1
-0.9197031,5.5080880886,1.09432725,-1.0307141,1
-2.5582446,1.9788674716,-1.13517319,-1.9893328,1
2.6285137,1.6474495254,-1.51847979,0.5136217,0
-1.6068286,10.6730622198,-3.61876303,-4.1689192,0
0.0950518,0.6773440739,0.52271149,-0.368438,1
1.0328588,4.063461575,2.76064046,-1.3776025,0
-0.577192,6.2762325376,-1.26501791,-4.0308866,1
-0.3761748,4.6564863939,0.82468581,-0.7918039,1
0.6713882,1.8504761918,2.21141191,-2.688095,0
0.8431247,2.5277765157,0.07184291,0.7205689,1
-4.7471045,-1.6985617253,4.4499019,-1.914826,1
4.8155315,5.074749597,-4.09317335,0.0293943,0
0.0338262,1.4242708858,-1.87393376,-0.138514,1
-6.3618121,-12.1316712989,9.95799297,-0.1812053,1
-5.2810051,2.4022517862,1.80338069,-3.1791424,1
-2.0721799,-5.5395819384,-2.10201123,-0.9104523,1
-2.7005443,-1.8534994107,-1.58870841,-1.6905544,1
3.2607029,0.1805463818,0.85089566,2.2194045,0
-1.4953678,-11.0960237532,12.50026446,2.4495,1
2.6414418,8.4795411064,-2.41426803,-1.2924913,0
4.3868065,11.7213089083,-4.14406054,0.2286603,0
-6.355839,-4.6960097684,6.31920131,-3.0633479,1
1.7212061,2.7370763008,-2.28522342,-0.1174898,1
2.7048427,-0.9775358883,-2.39449284,-1.8485464,1
