variance,skewness,curtosis,entropy,class
3.114829,9.3684116673,-1.22206701,-3.7087703,0
-2.1959979,2.8426343064,2.2077451,-2.0908974,1
-0.0511827,6.3390890958,-0.22476594,-1.6371381,0
-0.2346574,3.0909232401,-1.06547626,1.4125474,1
0.7673635,2.4564116173,2.60499984,0.1651789,0
1.0412255,12.4674679197,1.11736264,-2.9159733,0
0.3129268,7.6299838873,1.26609883,0.7391515,0
-6.1699418,1.6464780576,-4.43217278,-3.3398844,1
0.3147419,2.7222332595,1.08555964,0.1271844,1
4.6827403,4.7162531557,-1.61799248,-1.1134255,0
0.4791306,3.0278414395,1.94766309,0.594509,0
2.0862912,0.7162434024,0.63203262,1.1613689,0
-1.4493865,-0.0008588585,0.77175264,1.2550094,1
3.5040503,-1.0433712759,7.83550504,1.2846317,0
1.2791093,7.7803325608,-3.51406293,-0.8961459,0
-1.6201283,2.3817181135,-1.45084879,-3.1791826,1
1.9951567,-0.2860615664,-0.14102063,0.3329327,0
0.7921834,0.2455260897,1.78317707,2.12528,0
-2.6207445,-8.9808026126,9.77237635,1.2589874,1
-2.2407541,-10.0436678776,9.69453117,-0.20492,1
-2.8227464,-6.3648398249,6.80011023,-0.0533509,1
-0.9444323,-5.1056707265,6.08420369,1.1495302,1
-1.7363514,1.1637467683,-1.33257039,-0.8919461,1
-2.282424,9.9538456082,-4.83124449,-8.5482,0
1.0264124,5.1036192345,-1.52765001,0.6069577,0
-1.1083912,0.9577536584,4.41712529,-3.3573894,1
-1.9885765,-4.6660518153,7.06240168,1.9997019,0
-2.7016914,-4.5155645216,3.24605076,-0.1111885,1
-0.9331294,-7.40397804,9.89928288,-0.4113355,1
2.7440409,8.5428398941,-0.88975648,-3.1881452,0
3.7197537,7.2723816846,-2.12931148,-1.2809113,0
1.8915604,2.4081538686,0.6203611,0.8789331,0
-2.9668883,-7.8540120232,6.40755939,0.5150942,1
1.2179012,5.3476575117,-1.00379672,0.086228,0
-2.8466516,0.1017901893,1.7982478,1.3175212,1
4.1820664,0.2136433266,4.33131972,-1.0555058,0
0.3593711,3.1464380042,0.4530195,-0.5893913,1
3.0113711,2.5955383079,0.66098725,0.4214549,0
3.2250031,10.0197839457,-4.09030944,-6.1379298,0
-0.1154266,7.6969731817,-3.29135747,-1.5497593,0
-0.964742,-10.237176417,-1.39272463,-0.4105189,1
-2.0852911,-3.3044933379,5.00360898,0.1962992,1
3.2491059,3.8482814543,0.21504808,-1.300274,0
2.6076854,0.5272498196,-0.15979413,1.5299394,0
-1.6691092,-12.5123133021,11.68214709,-0.6850869,1
4.0786717,3.1504047171,0.44082891,-0.3447534,0
1.1955288,6.6199991114,-0.61456212,0.3153654,0
1.7175621,3.2328567386,-0.88514722,0.1056157,0
-2.6491016,-7.276157864,11.05120587,-0.1750393,1
3.489767,2.4598389294,0.4962596,0.7844027,0
-1.5888123,-9.5198322716,9.65181263,0.8211942,1
4.6620269,9.6346768698,-3.36333545,-4.8575861,0
-1.2170173,-0.2309797391,0.43961587,0.3899672,1
-3.1844316,1.4195684243,-0.69233757,-3.6747738,1
-2.4962751,-4.4585724427,13.31832262,-1.5476767,1
3.5353078,-4.3091837469,7.78857409,1.0758585,0
-3.1674795,-8.0407035331,7.57653428,-1.514173,1
-2.2030491,3.8871535867,-4.11171803,-6.0519976,1
2.7013335,7.902074682,-1.57822532,-4.1212541,0
-1.668344,-1.630275927,0.44715508,1.5104579,1
-0.8057835,9.3329054809,-2.76264418,-3.3859274,0
1.1852794,7.7054144879,-2.28417885,-4.2832099,0
-2.0480793,-5.4776761891,10.9371225,-1.1141497,1
-0.0151709,11.696005448,0.93355328,-2.0688806,0
-0.614694,7.2463088776,-0.91669419,-3.6983144,0
-0.1740983,2.5788309576,-3.92414222,-1.0037189,1
-1.2681169,8.3309472292,-3.52444582,-6.3138819,1
5.5201243,10.6831947807,-2.71767102,-3.9478634,0
1.6546683,1.0676938028,4.70913442,1.0258011,0
-2.7688014,1.1608722649,-0.86964341,-1.3183551,1
0.5338085,-3.0415754805,7.74590155,1.5696365,1
-3.6985177,-5.1304406407,0.28041817,-1.2158033,1
-2.0095203,1.6205145754,-3.27776906,-3.266649,1
-1.7655894,-7.3543337905,6.69172945,0.7164729,1
4.039406,9.5371257857,-4.45057342,-3.2403714,0
-1.1521635,0.9514130433,2.78198096,0.0797081,1
-0.2217869,1.3103397396,-0.08356868,0.3049831,1
-2.4502749,0.5708501421,0.58464102,0.1075549,1
-1.9494651,2.59434,-0.45805243,-0.7336492,1
-2.4658584,-1.1458230425,3.03496192,0.3389179,1
2.589973,7.3177183176,-3.47136612,-0.5654951,0
-1.9000832,-6.7884734447,2.65835737,-0.109988,1
3.7198807,3.8387866584,2.42264663,1.0032392,0
0.3659775,6.2907069546,0.23987405,-2.8627041,1
4.7651104,9.1887727009,1.77032611,0.3221237,0
0.9806426,6.3329477898,-4.06563397,-6.1220039,0
3.9351078,9.0400801886,-3.79301734,-1.7041134,0
-0.5174247,-2.2894535106,4.3929587,0.471656,1
3.0621551,0.6860711855,1.26592899,0.9216124,0
1.4292104,2.1583390881,0.43434349,0.7205492,0
2.5859549,7.8119809693,-4.04115739,-2.7856108,0
-3.1515273,2.7058690808,0.1561781,-3.5723229,1
-1.1607459,-0.0556378846,-0.8852192,0.8246128,1
-4.8972797,6.6563402746,0.55399581,-5.4385755,1
-1.7495271,9.0273484362,-1.65091184,-4.3007384,1
-1.7508231,0.9043143957,1.87519265,1.3819814,1
4.457394,-1.0084827896,4.52804594,0.6048897,0
-2.7148087,0.0672881521,2.45403892,-0.1767326,1
0.3786717,4.5063989705,-0.361843,-8.5482,1
-3.4271972,3.7030860398,-0.35031226,-1.1341524,1
2.454481,-7.4580538166,7.2399141,0.1987637,0
2.53793,4.2635600897,0.05843636,0.0329279,0
-2.8589988,-5.9040705916,0.25538989,0.9869458,1
4.3189431,0.6174921159,0.99401668,1.3590888,0
-3.9196907,-6.862684014,8.27307483,-0.2285721,1
3.9969445,-1.230104594,3.54774739,1.0465602,0
2.6982372,10.0011684109,-2.39605577,-6.6236744,0
-1.6411266,12.3926503481,-3.68432673,-7.2884601,0
-0.3601625,8.4132677904,-3.24888333,0.4084768,0
0.0929039,9.4554511992,-1.37144621,-1.8795114,0
-1.843681,3.9439350159,-4.19438309,-4.378642,1
3.7374226,7.8952807617,-3.51202621,-0.6918474,0
0.220994,4.2825697927,-2.95465255,-0.0732244,0
-1.5827591,-4.3877297416,2.3234246,-0.1995549,1
0.7995417,10.9469980196,-4.41648155,-5.9877626,0
-1.2523809,2.770749803,-1.18483635,0.8938529,1
-2.755073,-7.7544155158,6.70548097,-1.2911844,1
-2.5272862,3.0185736864,0.10699952,-6.6288869,1
0.4644881,-0.1804301807,-3.41675317,-0.7524796,1
3.2944172,-0.3698601197,3.19161497,-0.0770665,0
