Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
0,4.5,3.1,2.7,0.2,Iris-setosa
1,4.3,2.0,6.5,1.3,Iris-virginica
2,4.5,3.3,3.6,0.5,Iris-versicolor
3,5.6,2.8,2.1,0.4,Iris-versicolor
4,7.1,2.0,2.3,0.1,Iris-versicolor
5,5.0,2.0,5.3,0.1,Iris-virginica
6,5.2,3.9,6.9,1.4,Iris-virginica
7,5.0,3.0,2.4,0.1,Iris-virginica
8,4.5,2.5,6.9,0.1,Iris-virginica
9,5.5,3.4,5.3,1.1,Iris-versicolor
10,5.2,3.7,5.2,0.1,Iris-versicolor
11,6.5,2.0,6.9,0.1,Iris-virginica
12,4.5,3.5,5.9,0.6,Iris-versicolor
13,5.4,2.5,6.1,0.1,Iris-virginica
14,4.3,2.2,1.9,0.3,Iris-versicolor
15,4.8,3.9,2.5,1.3,Iris-virginica
16,6.4,3.4,2.5,0.1,Iris-setosa
17,4.3,3.5,6.4,0.6,Iris-versicolor
18,4.8,4.3,3.5,0.7,Iris-setosa
19,7.0,3.0,6.6,1.1,Iris-virginica
20,7.4,3.2,2.6,0.3,Iris-setosa
21,4.5,3.0,2.2,0.6,Iris-virginica
22,5.7,2.8,1.0,1.1,Iris-setosa
23,4.8,3.5,1.8,0.1,Iris-setosa
24,7.2,3.8,1.9,0.7,Iris-versicolor
25,5.6,3.0,6.9,0.5,Iris-virginica
26,5.2,3.4,3.9,1.3,Iris-versicolor
27,5.6,2.6,1.8,0.6,Iris-versicolor
28,4.3,2.4,2.5,0.1,Iris-setosa
29,4.6,2.4,2.4,1.8,Iris-virginica
30,5.7,2.6,1.7,2.1,Iris-setosa
31,5.7,3.6,6.9,0.7,Iris-virginica
32,4.4,2.8,4.0,0.1,Iris-versicolor
33,5.6,3.2,6.6,0.1,Iris-setosa
34,5.5,3.3,4.3,0.8,Iris-versicolor
35,4.3,3.0,6.7,0.1,Iris-setosa
36,5.3,2.9,2.3,1.1,Iris-virginica
37,4.3,2.0,5.3,1.4,Iris-setosa
38,6.0,4.1,2.8,1.5,Iris-virginica
39,4.3,2.9,6.9,0.1,Iris-virginica
40,4.3,3.5,5.6,1.0,Iris-virginica
41,5.0,2.9,4.1,0.1,Iris-setosa
42,4.6,4.3,1.7,0.2,Iris-setosa
43,4.3,3.2,2.2,0.3,Iris-versicolor
44,6.7,3.4,4.7,0.7,Iris-versicolor
45,4.3,2.7,5.6,0.1,Iris-virginica
46,6.5,2.2,2.6,0.6,Iris-setosa
47,6.6,3.9,6.5,0.1,Iris-setosa
48,6.1,2.1,2.1,0.9,Iris-virginica
49,4.3,3.3,2.2,0.1,Iris-setosa
50,4.3,3.4,2.4,0.1,Iris-setosa
51,6.2,2.7,5.9,1.0,Iris-virginica
52,5.5,2.6,2.4,0.6,Iris-versicolor
53,4.3,3.6,1.3,1.7,Iris-setosa
54,4.4,3.9,4.5,0.1,Iris-setosa
55,5.0,3.6,5.6,0.2,Iris-virginica
56,4.3,2.1,2.1,0.5,Iris-virginica
57,5.2,3.8,1.5,0.1,Iris-setosa
58,5.7,2.4,2.4,0.4,Iris-setosa
59,6.1,3.3,1.1,1.5,Iris-versicolor
60,4.8,2.9,5.7,0.1,Iris-virginica
61,5.2,3.6,1.8,1.2,Iris-setosa
62,5.4,2.7,5.9,1.2,Iris-virginica
63,5.7,2.8,6.8,0.1,Iris-setosa
64,4.3,3.6,6.3,1.3,Iris-setosa
65,4.3,3.0,5.9,0.4,Iris-virginica
66,5.2,3.1,6.8,1.2,Iris-virginica
67,4.9,2.0,4.3,1.4,Iris-virginica
68,4.5,3.5,6.6,0.9,Iris-virginica
69,5.0,3.2,1.8,0.1,Iris-versicolor
70,5.9,2.8,6.6,0.1,Iris-versicolor
71,5.4,2.1,2.1,0.6,Iris-virginica
72,5.0,3.3,2.1,0.7,Iris-virginica
73,4.4,2.8,4.2,1.2,Iris-versicolor
74,5.2,2.4,2.4,0.6,Iris-virginica
75,4.6,2.3,6.1,0.1,Iris-virginica
76,4.3,2.8,1.1,1.0,Iris-setosa
77,4.3,2.2,6.4,1.1,Iris-virginica
78,7.9,3.1,4.7,1.3,Iris-virginica
79,6.4,2.7,6.7,0.3,Iris-virginica
80,7.2,3.4,4.9,0.1,Iris-versicolor
81,7.9,3.0,5.0,1.3,Iris-versicolor
82,4.9,2.6,5.4,0.1,Iris-virginica
83,4.3,2.5,1.2,0.8,Iris-versicolor
84,5.1,3.4,6.9,0.2,Iris-virginica
85,4.6,3.1,6.9,1.3,Iris-virginica
86,5.6,3.5,5.6,0.9,Iris-versicolor
87,4.7,3.8,6.9,0.8,Iris-virginica
88,4.3,2.4,6.8,0.9,Iris-virginica
89,7.3,2.9,1.1,0.1,Iris-versicolor
90,7.0,2.6,2.0,0.4,Iris-virginica
91,5.5,2.8,5.9,0.6,Iris-setosa
92,4.3,3.6,5.2,1.2,Iris-versicolor
93,4.3,3.4,1.9,0.1,Iris-setosa
94,7.3,2.0,5.0,0.1,Iris-versicolor
95,5.1,2.4,5.2,0.1,Iris-setosa
96,5.2,3.2,2.1,0.1,Iris-setosa
97,4.4,3.4,1.3,0.5,Iris-versicolor
98,5.7,2.3,6.9,0.8,Iris-virginica
99,5.3,3.6,6.3,0.1,Iris-setosa
100,4.3,2.5,5.3,0.8,Iris-virginica
101,5.1,4.2,4.6,0.8,Iris-setosa
102,4.5,2.0,1.3,0.4,Iris-virginica
103,4.4,3.0,4.4,0.1,Iris-setosa
104,4.9,3.4,5.5,0.9,Iris-versicolor
105,5.6,3.0,6.8,0.9,Iris-versicolor
106,6.3,2.4,5.0,0.8,Iris-virginica
107,5.2,2.8,5.1,0.4,Iris-virginica
108,6.3,3.7,6.9,0.1,Iris-virginica
109,5.2,3.1,1.6,0.2,Iris-setosa
110,4.3,2.5,5.8,0.3,Iris-virginica
111,6.0,3.1,5.0,0.1,Iris-versicolor
112,4.3,2.9,3.2,1.2,Iris-versicolor
113,5.3,3.6,6.2,0.2,Iris-setosa
114,4.6,3.7,2.1,0.1,Iris-setosa
115,4.5,3.5,4.4,0.1,Iris-setosa
116,5.2,3.0,2.2,1.2,Iris-versicolor
117,5.6,2.8,5.4,1.1,Iris-versicolor
118,4.3,2.8,1.7,0.1,Iris-setosa
119,4.3,2.7,6.9,1.5,Iris-virginica
120,4.3,3.3,6.2,0.1,Iris-setosa
121,5.8,3.8,6.2,0.1,Iris-setosa
122,4.4,3.2,2.5,2.0,Iris-setosa
123,4.3,3.3,1.4,0.1,Iris-setosa
124,6.1,2.5,2.2,0.1,Iris-setosa
125,4.8,2.9,6.5,1.5,Iris-virginica
126,4.3,3.4,1.4,1.7,Iris-versicolor
127,5.3,2.5,2.4,0.9,Iris-setosa
128,4.7,3.6,6.9,1.0,Iris-virginica
129,5.1,3.3,5.1,1.2,Iris-versicolor
130,5.8,2.9,6.7,0.1,Iris-versicolor
131,5.4,2.9,1.8,0.1,Iris-setosa
132,5.1,3.4,1.1,0.6,Iris-setosa
133,6.5,3.0,1.0,1.3,Iris-versicolor
134,4.5,2.8,1.7,1.3,Iris-versicolor
135,5.0,2.2,1.1,0.1,Iris-versicolor
136,6.2,2.3,2.6,1.2,Iris-virginica
137,5.5,3.1,2.5,0.1,Iris-setosa
138,4.8,2.9,1.9,0.4,Iris-versicolor
139,4.3,2.3,2.7,0.1,Iris-virginica
