Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
0,4.3,2.0,3.4,0.5,Iris-versicolor
1,4.6,3.0,2.2,0.1,Iris-virginica
2,4.4,2.3,1.2,1.4,Iris-setosa
3,5.2,2.5,1.2,2.1,Iris-versicolor
4,4.8,3.2,5.6,0.4,Iris-setosa
5,7.5,2.3,5.3,0.8,Iris-virginica
6,4.4,2.9,2.8,0.9,Iris-versicolor
7,4.8,2.3,2.7,1.1,Iris-setosa
8,7.4,3.0,2.8,1.8,Iris-versicolor
9,5.3,2.7,2.8,0.3,Iris-virginica
10,5.4,2.7,1.1,0.5,Iris-versicolor
11,6.3,2.5,3.0,2.2,Iris-setosa
12,6.0,2.1,3.2,0.7,Iris-versicolor
13,6.3,2.5,1.1,0.1,Iris-virginica
14,5.2,2.9,3.0,1.1,Iris-setosa
15,5.3,2.9,2.7,1.8,Iris-virginica
16,4.3,2.4,5.3,0.2,Iris-versicolor
17,5.2,2.7,6.1,0.7,Iris-setosa
18,4.3,2.5,4.2,0.1,Iris-versicolor
19,7.6,2.3,1.9,0.5,Iris-versicolor
20,4.6,2.1,4.6,1.8,Iris-versicolor
21,4.3,2.4,1.1,0.2,Iris-versicolor
22,6.7,2.9,2.1,0.5,Iris-versicolor
23,5.2,2.6,1.1,2.0,Iris-setosa
24,5.8,2.8,3.4,1.8,Iris-versicolor
25,4.4,2.7,2.9,0.3,Iris-virginica
26,5.6,3.0,5.9,1.0,Iris-versicolor
27,6.0,2.2,5.0,1.6,Iris-versicolor
28,4.5,2.5,5.8,1.0,Iris-versicolor
29,5.7,2.3,3.5,0.8,Iris-versicolor
30,6.4,2.1,1.1,0.5,Iris-versicolor
31,5.1,2.0,3.0,0.8,Iris-versicolor
32,4.5,2.6,2.0,1.6,Iris-versicolor
33,4.4,2.4,4.9,0.9,Iris-setosa
34,6.5,2.1,5.4,0.1,Iris-virginica
35,4.5,2.3,5.3,1.5,Iris-versicolor
36,4.3,2.5,1.0,0.4,Iris-versicolor
37,5.5,2.5,3.4,1.2,Iris-setosa
38,5.8,2.8,4.6,0.5,Iris-versicolor
39,6.7,2.6,5.6,2.4,Iris-virginica
40,5.0,2.0,2.7,0.7,Iris-versicolor
41,4.9,2.5,5.5,0.1,Iris-setosa
42,4.8,2.4,1.9,1.4,Iris-setosa
43,4.5,3.3,1.4,1.7,Iris-setosa
44,4.4,2.0,1.1,0.1,Iris-versicolor
45,4.3,3.0,4.5,0.8,Iris-virginica
46,5.1,3.2,4.5,2.4,Iris-setosa
47,4.4,3.2,3.0,0.7,Iris-versicolor
48,7.0,3.4,4.6,0.6,Iris-versicolor
49,4.9,2.7,2.9,1.5,Iris-versicolor
50,4.4,2.1,4.1,1.4,Iris-versicolor
51,4.9,3.4,2.7,1.1,Iris-versicolor
52,4.5,2.0,2.7,0.5,Iris-virginica
53,7.0,2.5,4.3,2.2,Iris-versicolor
54,4.5,2.7,3.8,2.1,Iris-versicolor
55,6.3,3.1,5.4,1.3,Iris-versicolor
56,4.5,3.2,2.9,1.3,Iris-setosa
57,7.1,2.0,3.4,0.5,Iris-setosa
58,4.7,2.2,1.2,1.6,Iris-versicolor
59,5.1,2.7,4.0,0.1,Iris-versicolor
60,4.4,3.3,4.2,1.2,Iris-virginica
61,5.2,2.0,4.8,1.4,Iris-versicolor
62,5.6,2.3,3.3,0.3,Iris-versicolor
63,7.2,2.6,2.3,1.9,Iris-setosa
64,5.3,3.1,1.2,0.6,Iris-versicolor
65,7.3,2.7,1.3,0.9,Iris-virginica
66,5.6,2.0,4.1,1.5,Iris-setosa
67,5.9,2.4,4.3,1.9,Iris-setosa
68,4.8,3.1,3.7,0.3,Iris-virginica
69,4.3,2.4,6.2,0.7,Iris-setosa
70,5.3,2.7,2.6,1.3,Iris-versicolor
71,6.4,2.2,3.4,0.1,Iris-setosa
72,4.3,2.6,4.5,0.1,Iris-setosa
73,5.3,2.9,5.7,2.1,Iris-versicolor
74,5.5,2.9,1.9,0.6,Iris-setosa
75,5.8,2.2,4.3,0.8,Iris-versicolor
76,5.5,2.3,1.3,1.7,Iris-virginica
77,4.4,2.7,3.1,0.5,Iris-versicolor
78,5.0,2.8,4.0,1.6,Iris-versicolor
79,5.2,3.3,3.9,0.8,Iris-versicolor
80,4.9,2.6,6.0,1.5,Iris-versicolor
81,5.5,2.5,3.0,1.3,Iris-versicolor
82,4.5,3.3,3.1,0.1,Iris-virginica
83,6.5,2.5,3.1,2.3,Iris-setosa
84,5.5,3.0,2.9,1.6,Iris-setosa
85,4.6,3.0,5.4,0.1,Iris-setosa
86,4.9,3.1,3.9,0.7,Iris-versicolor
87,4.9,3.3,5.9,0.6,Iris-versicolor
88,5.4,2.6,4.3,2.1,Iris-versicolor
89,6.9,2.5,3.1,0.1,Iris-versicolor
90,4.5,2.5,2.7,1.3,Iris-versicolor
91,4.4,2.1,1.1,0.2,Iris-setosa
92,4.5,2.6,3.1,0.3,Iris-versicolor
93,4.9,2.0,3.6,2.3,Iris-versicolor
94,6.6,2.2,4.0,1.5,Iris-versicolor
95,6.7,2.4,4.2,0.5,Iris-virginica
96,5.9,2.2,3.3,0.8,Iris-versicolor
97,5.1,3.5,3.2,0.4,Iris-versicolor
98,4.8,2.6,2.6,1.2,Iris-versicolor
99,6.3,2.1,3.3,2.1,Iris-virginica
100,6.9,2.7,5.6,1.0,Iris-versicolor
101,7.2,2.0,3.2,2.0,Iris-versicolor
102,4.5,3.0,1.9,0.4,Iris-versicolor
103,7.3,2.4,1.1,2.2,Iris-virginica
104,4.3,2.4,1.0,0.5,Iris-versicolor
105,4.5,2.2,3.2,1.7,Iris-versicolor
106,7.1,2.0,4.5,0.6,Iris-versicolor
107,6.3,2.1,4.1,0.1,Iris-versicolor
108,4.4,2.6,3.3,0.6,Iris-virginica
109,5.8,2.4,3.4,1.0,Iris-setosa
110,4.4,2.5,3.2,0.1,Iris-virginica
111,6.1,3.5,3.6,2.0,Iris-versicolor
112,5.3,3.7,3.0,0.6,Iris-setosa
113,4.6,3.8,2.0,2.1,Iris-setosa
114,4.7,2.7,2.7,0.1,Iris-setosa
115,5.8,3.2,3.4,0.6,Iris-versicolor
116,4.7,2.2,3.7,0.1,Iris-virginica
117,4.8,2.8,2.4,0.1,Iris-setosa
118,6.4,2.3,4.1,1.5,Iris-virginica
119,5.2,2.7,4.6,0.1,Iris-setosa
120,5.3,2.4,2.7,1.7,Iris-versicolor
121,5.5,2.6,4.6,2.2,Iris-setosa
122,5.9,2.7,2.5,1.2,Iris-virginica
123,4.5,3.6,3.7,0.1,Iris-versicolor
124,5.2,2.9,2.1,0.2,Iris-setosa
125,5.5,2.0,5.7,0.1,Iris-versicolor
126,5.1,2.9,3.9,0.6,Iris-versicolor
127,4.9,2.6,3.4,0.8,Iris-setosa
128,5.4,3.2,3.3,1.4,Iris-versicolor
129,5.0,2.6,4.4,0.1,Iris-versicolor
130,5.2,3.2,2.7,0.1,Iris-virginica
131,6.9,2.5,4.1,1.5,Iris-versicolor
132,4.9,3.2,3.1,1.7,Iris-versicolor
133,5.3,2.8,5.5,1.3,Iris-versicolor
134,5.8,2.8,3.4,0.1,Iris-setosa
135,5.4,3.6,4.2,0.2,Iris-versicolor
