Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
0,6.0,3.4,3.5,0.4,Iris-setosa
1,5.7,3.4,3.0,1.6,Iris-setosa
2,7.4,3.7,6.3,1.4,Iris-virginica
3,6.8,2.6,6.2,2.1,Iris-virginica
4,7.5,2.2,6.9,2.3,Iris-versicolor
5,5.8,2.3,5.9,0.6,Iris-virginica
6,7.1,2.7,6.5,2.5,Iris-versicolor
7,6.0,2.9,5.4,2.1,Iris-versicolor
8,4.3,3.4,1.2,0.1,Iris-setosa
9,6.3,3.0,5.6,2.4,Iris-virginica
10,6.1,2.8,3.5,0.5,Iris-setosa
11,5.1,3.9,1.8,0.2,Iris-setosa
12,5.8,2.6,3.9,0.4,Iris-versicolor
13,4.7,3.7,1.4,0.9,Iris-setosa
14,6.2,3.2,5.2,2.2,Iris-versicolor
15,5.0,3.6,1.8,0.2,Iris-setosa
16,5.4,2.4,5.1,1.2,Iris-versicolor
17,5.4,2.8,3.3,1.9,Iris-versicolor
18,7.0,2.9,5.0,2.2,Iris-versicolor
19,4.8,2.7,3.0,1.2,Iris-virginica
20,5.3,3.3,4.4,0.4,Iris-setosa
21,5.6,3.2,3.6,1.4,Iris-virginica
22,4.4,2.9,1.3,0.1,Iris-setosa
23,5.3,3.1,4.0,1.6,Iris-virginica
24,4.7,3.4,1.1,0.3,Iris-setosa
25,5.0,3.5,1.7,0.8,Iris-setosa
26,5.4,2.8,2.5,0.6,Iris-versicolor
27,6.0,2.5,4.8,2.0,Iris-virginica
28,6.4,2.7,5.7,1.8,Iris-versicolor
29,6.3,3.1,5.4,0.3,Iris-virginica
30,5.6,3.2,3.3,1.0,Iris-versicolor
31,7.3,2.6,5.9,2.5,Iris-versicolor
32,4.4,2.8,1.1,0.2,Iris-setosa
33,6.2,3.0,4.6,1.9,Iris-virginica
34,6.8,3.4,3.2,0.7,Iris-setosa
35,5.0,3.3,2.0,0.5,Iris-setosa
36,6.7,3.2,5.2,1.8,Iris-versicolor
37,6.2,2.7,5.4,0.6,Iris-versicolor
38,4.7,3.1,1.2,0.1,Iris-setosa
39,6.0,3.3,5.8,2.4,Iris-virginica
40,4.9,2.4,3.2,0.2,Iris-versicolor
41,4.5,3.4,1.5,0.1,Iris-setosa
42,5.1,3.1,2.6,0.6,Iris-setosa
43,6.5,2.3,6.7,1.6,Iris-virginica
44,5.4,2.8,2.8,0.5,Iris-versicolor
45,5.4,3.4,4.0,1.7,Iris-virginica
46,6.6,2.4,6.7,1.0,Iris-virginica
47,4.8,3.4,1.4,0.1,Iris-setosa
48,6.8,2.9,5.8,2.3,Iris-virginica
49,4.9,2.7,1.5,2.0,Iris-versicolor
50,4.5,3.4,1.1,0.7,Iris-setosa
51,5.4,2.6,3.2,0.2,Iris-versicolor
52,5.0,2.5,5.5,1.7,Iris-virginica
53,6.3,2.5,4.4,2.1,Iris-virginica
54,6.4,2.6,6.1,1.5,Iris-versicolor
55,5.2,2.9,3.4,1.5,Iris-versicolor
56,6.1,3.1,5.7,1.9,Iris-virginica
57,5.8,3.0,4.6,1.9,Iris-versicolor
58,6.8,3.0,3.2,2.1,Iris-versicolor
59,6.7,3.5,6.1,1.7,Iris-virginica
60,5.8,3.2,4.1,1.0,Iris-virginica
61,7.8,3.2,6.6,2.2,Iris-virginica
62,5.1,2.8,1.9,0.7,Iris-setosa
63,6.4,3.7,2.8,1.9,Iris-setosa
64,4.7,3.6,1.3,0.4,Iris-versicolor
65,6.5,2.5,6.1,2.0,Iris-virginica
66,5.3,3.7,1.8,0.1,Iris-setosa
67,5.8,3.6,3.5,1.8,Iris-versicolor
68,5.9,3.5,1.6,1.4,Iris-setosa
69,6.9,3.1,5.3,1.9,Iris-versicolor
70,6.0,2.6,5.1,2.4,Iris-versicolor
71,5.8,3.0,4.5,2.2,Iris-versicolor
72,6.4,3.1,4.3,0.9,Iris-virginica
73,6.2,3.1,3.2,0.7,Iris-versicolor
74,7.0,3.5,5.6,1.6,Iris-versicolor
75,5.4,3.2,1.4,0.9,Iris-setosa
76,5.9,3.0,2.8,1.7,Iris-versicolor
77,4.8,2.9,3.8,0.8,Iris-setosa
78,7.5,2.9,4.2,2.2,Iris-versicolor
79,6.1,3.5,3.2,2.3,Iris-virginica
80,6.9,2.9,5.6,2.4,Iris-versicolor
81,5.1,3.6,1.5,0.1,Iris-setosa
82,5.0,3.4,2.8,1.1,Iris-setosa
83,6.0,3.3,4.0,0.2,Iris-virginica
84,7.2,3.5,5.8,2.0,Iris-virginica
85,6.2,3.0,5.3,2.1,Iris-versicolor
86,5.8,2.6,4.6,1.1,Iris-versicolor
87,6.1,2.7,3.9,2.0,Iris-versicolor
88,7.2,3.4,6.2,2.0,Iris-versicolor
89,6.4,2.0,6.6,1.5,Iris-virginica
90,4.9,4.0,1.3,0.7,Iris-setosa
91,5.9,2.8,3.0,0.5,Iris-versicolor
92,6.0,3.0,4.6,1.8,Iris-setosa
93,7.2,3.3,6.3,2.1,Iris-versicolor
94,4.5,2.8,2.0,1.9,Iris-versicolor
95,6.7,2.2,6.8,2.4,Iris-virginica
96,4.7,3.0,1.4,0.1,Iris-setosa
97,4.7,2.8,1.5,1.8,Iris-virginica
98,4.7,2.2,2.6,0.7,Iris-versicolor
99,5.4,3.6,1.4,1.7,Iris-setosa
100,6.1,2.7,5.5,0.6,Iris-virginica
101,5.7,3.9,4.2,1.6,Iris-setosa
102,4.7,3.3,1.3,0.4,Iris-setosa
103,6.1,2.7,4.6,2.0,Iris-virginica
104,7.7,3.4,6.4,2.5,Iris-virginica
105,5.1,2.0,6.2,2.4,Iris-versicolor
106,5.7,3.2,2.5,1.0,Iris-virginica
107,6.0,3.1,4.7,0.8,Iris-virginica
108,7.1,3.3,5.4,1.9,Iris-setosa
109,4.9,2.9,3.7,1.8,Iris-versicolor
110,5.2,2.9,2.7,1.4,Iris-setosa
111,4.6,2.3,2.9,1.2,Iris-versicolor
112,5.0,3.8,1.2,0.5,Iris-setosa
113,6.1,3.3,3.7,1.1,Iris-versicolor
114,4.7,2.9,2.4,2.1,Iris-versicolor
115,7.2,3.2,3.9,1.7,Iris-virginica
116,6.9,3.6,5.0,1.9,Iris-virginica
117,4.4,2.7,1.4,0.3,Iris-versicolor
118,5.2,3.1,2.3,0.2,Iris-setosa
119,5.9,3.4,2.8,0.5,Iris-virginica
120,6.2,3.4,5.2,1.2,Iris-virginica
121,4.5,4.2,1.2,0.1,Iris-setosa
122,7.3,2.7,6.6,2.4,Iris-virginica
123,6.4,3.2,3.2,0.3,Iris-setosa
124,5.3,2.6,5.7,2.4,Iris-versicolor
125,5.5,3.3,1.4,0.1,Iris-versicolor
126,5.3,2.7,3.6,0.5,Iris-setosa
127,5.5,2.8,3.8,0.7,Iris-setosa
128,5.2,4.3,1.1,1.3,Iris-setosa
129,6.5,3.2,4.4,0.4,Iris-setosa
130,5.2,2.8,2.1,0.1,Iris-versicolor
131,5.7,3.8,2.6,0.2,Iris-setosa
132,6.7,3.7,5.3,1.8,Iris-virginica
133,5.3,2.6,4.1,1.6,Iris-virginica
134,5.8,2.6,6.1,1.4,Iris-virginica
135,6.6,3.2,5.5,1.3,Iris-virginica
136,4.7,3.0,1.9,0.1,Iris-setosa
137,6.4,3.0,4.8,2.3,Iris-virginica
138,4.8,3.0,4.6,0.4,Iris-virginica
139,6.0,3.5,1.9,1.4,Iris-setosa
140,4.4,3.7,1.1,0.1,Iris-setosa
141,4.6,3.2,2.2,1.1,Iris-setosa
142,6.3,3.8,3.9,2.3,Iris-versicolor
143,4.4,3.7,1.0,0.4,Iris-setosa
144,4.8,2.8,3.9,0.9,Iris-setosa
145,5.4,3.4,1.7,1.4,Iris-setosa
146,4.8,3.5,1.1,0.1,Iris-setosa
147,6.8,3.4,5.1,0.8,Iris-virginica
148,4.8,2.4,2.2,0.9,Iris-virginica
149,4.9,3.1,1.5,0.4,Iris-versicolor
150,4.4,3.0,1.1,0.1,Iris-setosa
151,5.6,2.8,4.1,2.2,Iris-versicolor
152,5.1,3.5,1.8,0.3,Iris-setosa
153,5.3,3.7,2.1,0.4,Iris-setosa
154,5.6,2.8,3.7,0.5,Iris-virginica
155,5.3,3.4,3.0,1.0,Iris-setosa
156,4.6,2.5,2.2,1.6,Iris-setosa
157,4.3,3.4,1.1,0.3,Iris-setosa
158,7.1,3.2,6.0,2.3,Iris-virginica
159,4.9,2.7,3.6,0.2,Iris-versicolor
160,5.0,3.4,1.9,1.6,Iris-setosa
161,6.5,2.8,4.4,1.7,Iris-versicolor
162,6.1,3.1,5.4,0.9,Iris-virginica
163,5.5,2.0,5.6,1.5,Iris-versicolor
164,5.5,3.8,1.2,1.3,Iris-setosa
165,6.1,3.5,4.6,1.2,Iris-setosa
166,5.5,3.0,2.9,1.0,Iris-virginica
167,7.1,3.7,5.4,1.9,Iris-virginica
168,7.4,2.6,6.0,1.3,Iris-virginica
169,6.2,2.8,5.0,2.5,Iris-virginica
170,7.2,2.8,6.6,2.4,Iris-versicolor
171,6.2,3.2,5.4,2.2,Iris-virginica
172,7.5,3.0,5.7,2.3,Iris-versicolor
173,6.6,2.9,6.2,1.3,Iris-virginica
174,6.7,2.8,4.1,1.3,Iris-setosa
175,4.6,3.2,1.1,0.6,Iris-setosa
176,6.3,2.9,3.4,1.1,Iris-setosa
177,7.4,2.3,6.8,1.8,Iris-versicolor
178,5.9,3.6,4.0,1.8,Iris-setosa
179,4.8,3.9,1.4,1.3,Iris-setosa
180,5.2,3.0,2.9,0.8,Iris-setosa
181,5.3,2.7,1.7,0.4,Iris-versicolor
182,6.4,3.1,5.6,1.3,Iris-virginica
183,6.3,2.6,5.7,2.1,Iris-versicolor
184,4.7,3.2,1.1,0.1,Iris-setosa
185,5.4,2.5,3.6,0.4,Iris-versicolor
186,5.9,3.8,2.0,0.3,Iris-setosa
187,7.8,2.5,6.9,2.5,Iris-versicolor
188,6.2,2.7,4.5,1.6,Iris-versicolor
189,6.5,2.4,6.7,2.5,Iris-virginica
190,5.1,3.5,1.8,0.2,Iris-setosa
191,6.4,2.3,5.4,2.3,Iris-versicolor
192,5.7,2.7,4.2,0.5,Iris-versicolor
193,6.3,3.3,3.3,2.2,Iris-virginica
194,6.1,2.4,5.5,2.1,Iris-versicolor
195,6.4,2.8,5.8,2.4,Iris-virginica
196,4.7,3.5,1.6,0.3,Iris-setosa
197,4.3,3.0,1.4,0.3,Iris-setosa
198,5.8,2.3,6.6,2.2,Iris-versicolor
199,4.7,2.9,1.6,0.1,Iris-setosa
200,6.7,2.9,6.7,2.2,Iris-virginica
201,4.6,2.7,2.3,0.5,Iris-versicolor
202,5.7,3.0,3.5,0.4,Iris-versicolor
203,5.1,2.9,2.4,1.0,Iris-versicolor
204,4.6,4.4,1.1,0.3,Iris-setosa
205,5.3,3.4,2.8,1.2,Iris-versicolor
206,5.4,3.9,2.0,0.4,Iris-virginica
207,6.1,2.5,5.5,2.4,Iris-versicolor
208,5.4,2.8,3.4,2.2,Iris-versicolor
209,6.1,2.4,3.8,1.5,Iris-virginica
210,6.1,2.5,6.1,2.5,Iris-virginica
211,4.9,3.2,2.2,1.5,Iris-setosa
212,6.4,2.5,3.6,2.3,Iris-versicolor
213,5.5,2.6,5.9,2.2,Iris-virginica
214,6.0,2.7,5.1,0.4,Iris-virginica
215,6.2,4.3,2.9,0.5,Iris-setosa
216,6.3,2.6,6.2,2.4,Iris-virginica
217,5.6,2.9,3.1,0.5,Iris-setosa
218,5.9,2.7,5.8,1.8,Iris-virginica
219,6.4,2.6,5.2,1.6,Iris-virginica
220,5.1,3.7,1.4,1.0,Iris-setosa
221,6.5,2.8,5.3,2.1,Iris-virginica
222,7.4,3.3,4.9,1.5,Iris-virginica
223,4.7,2.6,1.9,0.4,Iris-versicolor
224,5.4,2.5,3.8,1.9,Iris-setosa
225,5.7,2.4,3.6,2.0,Iris-versicolor
226,5.3,3.0,1.5,1.5,Iris-versicolor
227,6.4,3.1,4.0,1.9,Iris-virginica
228,6.4,3.0,4.3,1.6,Iris-versicolor
229,7.2,3.3,4.6,1.8,Iris-setosa
230,4.4,2.3,2.0,0.8,Iris-versicolor
231,4.8,3.4,1.2,0.1,Iris-setosa
232,6.3,2.3,5.4,1.4,Iris-versicolor
233,5.6,2.9,3.8,1.3,Iris-versicolor
234,4.9,2.7,2.3,0.3,Iris-setosa
235,5.2,3.0,3.5,1.8,Iris-versicolor
236,4.6,3.0,1.1,0.2,Iris-setosa
237,4.9,4.0,1.2,1.6,Iris-setosa
238,6.0,3.5,1.2,0.9,Iris-setosa
239,6.5,3.0,6.1,0.7,Iris-virginica
240,5.4,3.0,3.7,2.2,Iris-virginica
241,5.5,2.4,4.4,0.3,Iris-versicolor
242,4.7,3.1,1.1,0.2,Iris-setosa
243,5.4,4.0,2.5,0.7,Iris-setosa
244,7.7,2.7,6.9,2.5,Iris-virginica
245,6.5,3.3,5.0,2.5,Iris-virginica
