Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
0,5.5,3.2,5.3,1.9,Iris-virginica
1,6.4,2.7,4.0,1.5,Iris-versicolor
2,6.4,2.6,3.9,1.8,Iris-versicolor
3,5.0,2.8,4.4,1.2,Iris-versicolor
4,4.4,3.2,1.3,0.4,Iris-setosa
5,6.3,3.0,4.4,1.7,Iris-virginica
6,5.7,2.9,5.3,1.7,Iris-virginica
7,5.1,3.5,1.8,1.6,Iris-setosa
8,6.6,2.9,4.7,1.7,Iris-virginica
9,7.1,2.9,4.5,0.9,Iris-versicolor
10,5.0,3.5,1.4,0.2,Iris-setosa
11,4.5,3.2,1.4,0.1,Iris-setosa
12,5.9,2.9,4.2,1.2,Iris-versicolor
13,5.4,3.1,1.3,0.1,Iris-setosa
14,4.8,2.4,5.0,1.5,Iris-setosa
15,5.5,3.2,5.2,1.2,Iris-versicolor
16,6.7,2.9,4.4,2.0,Iris-virginica
17,5.9,2.6,4.2,1.9,Iris-virginica
18,5.2,3.0,5.1,1.5,Iris-versicolor
19,6.3,3.1,5.3,1.9,Iris-virginica
20,5.0,2.7,4.2,1.6,Iris-versicolor
21,4.6,3.5,1.6,0.2,Iris-setosa
22,5.4,3.0,5.3,1.5,Iris-versicolor
23,7.0,2.9,4.9,1.2,Iris-versicolor
24,5.0,3.7,1.5,0.2,Iris-setosa
25,6.7,2.6,4.4,2.1,Iris-setosa
26,4.8,2.9,5.1,1.4,Iris-versicolor
27,6.3,3.4,5.3,2.3,Iris-virginica
28,6.2,2.9,4.2,1.6,Iris-versicolor
29,5.3,3.4,4.7,1.7,Iris-versicolor
30,4.3,3.9,1.3,0.3,Iris-setosa
31,6.9,2.8,4.5,2.1,Iris-virginica
32,5.4,3.0,5.1,1.7,Iris-versicolor
33,5.2,3.5,1.4,0.4,Iris-setosa
34,5.0,3.0,1.2,0.3,Iris-setosa
35,5.3,3.1,5.1,1.5,Iris-versicolor
36,5.9,3.1,4.6,1.2,Iris-virginica
37,5.9,3.1,4.9,1.9,Iris-versicolor
38,5.6,2.6,3.8,1.6,Iris-versicolor
39,5.6,3.0,5.2,1.7,Iris-virginica
40,6.1,3.6,5.5,1.4,Iris-versicolor
41,5.8,2.8,4.4,1.6,Iris-virginica
42,6.1,3.2,5.6,1.7,Iris-virginica
43,5.1,3.6,5.3,1.6,Iris-virginica
44,4.3,2.8,4.6,1.5,Iris-versicolor
45,5.6,2.8,5.6,1.8,Iris-virginica
46,6.0,2.9,3.7,1.7,Iris-versicolor
47,6.3,3.0,5.1,1.9,Iris-virginica
48,6.5,3.0,6.8,2.5,Iris-virginica
49,5.1,2.5,1.2,1.0,Iris-setosa
50,4.8,2.6,5.2,1.4,Iris-versicolor
51,7.1,3.2,5.1,2.5,Iris-virginica
52,6.3,2.4,4.8,1.7,Iris-virginica
53,5.8,3.4,5.8,1.7,Iris-setosa
54,7.0,3.2,5.8,1.7,Iris-virginica
55,5.2,3.2,1.9,0.1,Iris-setosa
56,6.3,3.5,5.5,2.1,Iris-virginica
57,6.5,3.0,5.1,1.8,Iris-virginica
58,5.3,2.7,3.8,1.0,Iris-versicolor
59,4.7,3.2,1.2,0.4,Iris-setosa
60,6.4,2.7,4.5,1.5,Iris-versicolor
61,5.4,3.2,4.7,1.6,Iris-versicolor
