User ID,Gender,Age,EstimatedSalary,Purchased
0,Male,9,69,0
1,Female,35,11,1
2,Female,78,71,0
3,Male,32,66,0
4,Female,58,51,1
5,Female,26,63,1
6,Female,12,81,1
7,Female,52,97,1
8,Female,57,47,0
9,Female,45,75,0
10,Female,78,55,1
11,Male,19,51,0
12,Male,93,79,0
13,Female,81,33,1
14,Male,70,92,0
15,Male,33,52,0
16,Male,77,22,0
17,Male,86,14,1
18,Male,43,4,1
19,Female,0,95,0
20,Male,57,38,1
21,Female,22,45,0
22,Female,14,97,0
23,Male,100,71,1
24,Male,69,100,1
25,Female,10,68,1
26,Female,67,42,1
27,Female,4,29,1
28,Female,52,59,1
29,Male,60,9,0
30,Female,52,95,0
31,Male,63,52,1
32,Female,94,53,0
33,Male,5,6,0
34,Female,11,22,1
35,Female,60,16,1
36,Male,13,92,0
37,Female,12,15,1
38,Female,7,38,0
39,Male,56,9,1
40,Male,5,28,0
41,Female,57,52,1
42,Male,10,13,0
43,Female,30,71,1
44,Female,3,55,0
45,Female,98,54,1
46,Female,61,43,1
47,Female,1,58,1
48,Male,43,87,0
49,Female,16,54,1
50,Male,39,82,0
51,Female,17,65,1
52,Female,52,95,0
53,Female,52,50,1
54,Female,7,90,0
55,Male,18,48,0
56,Female,21,100,0
57,Male,22,44,0
58,Male,30,29,1
59,Female,68,34,0
60,Female,95,97,0
61,Male,3,16,1
62,Female,49,93,1
63,Male,9,0,1
64,Female,9,3,0
65,Male,34,51,1
66,Male,94,82,1
67,Male,76,11,0
68,Male,48,69,0
69,Male,49,96,0
70,Female,8,35,1
71,Female,24,69,0
72,Male,36,40,0
73,Male,9,50,0
74,Male,6,88,1
75,Female,8,74,1
76,Female,81,75,0
77,Male,73,63,1
78,Female,57,98,1
79,Male,1,25,1
80,Male,36,37,1
81,Female,0,99,0
82,Male,58,27,1
83,Female,41,69,1
84,Female,78,99,1
85,Female,54,75,1
86,Female,91,82,1
87,Female,26,59,0
88,Female,34,15,1
89,Male,69,90,0
90,Female,7,10,0
91,Female,82,12,1
92,Male,15,80,0
93,Male,29,99,0
94,Female,80,94,1
95,Male,61,45,1
96,Male,50,0,1
97,Female,3,74,0
98,Female,49,4,1
99,Male,69,0,0
100,Female,90,76,1
101,Male,34,50,0
102,Male,97,53,0
103,Female,88,75,1
104,Male,53,72,1
105,Male,42,75,0
106,Male,34,32,1
107,Female,74,31,0
108,Female,66,15,0
109,Male,65,39,1
110,Female,64,85,0
111,Male,43,50,0
112,Male,11,13,0
113,Male,71,16,0
114,Male,35,91,1
115,Male,17,78,1
116,Female,72,7,1
117,Male,37,19,1
118,Female,32,38,0
119,Male,65,62,1
120,Female,4,51,1
121,Female,81,5,1
122,Female,92,89,1
123,Female,59,86,0
124,Female,95,68,0
125,Male,81,30,1
126,Female,36,31,1
127,Female,64,88,1
128,Female,83,6,0
129,Female,25,4,1
130,Male,29,65,0
131,Female,7,73,0
132,Female,90,80,0
133,Male,6,68,0
134,Male,31,68,0
135,Female,59,0,0
136,Male,67,22,1
137,Male,4,12,0
138,Male,1,18,1
139,Male,76,99,1
140,Female,8,14,0
141,Female,63,45,0
142,Male,33,85,0
143,Male,33,38,1
144,Female,29,9,1
145,Male,29,41,1
146,Female,86,48,0
147,Female,63,67,0
148,Female,25,13,0
