User ID,Gender,Age,EstimatedSalary,Purchased
0,Female,39.0,67741.0,0
1,Female,49.0,120505.0,1
2,Male,25.0,32881.0,0
3,Male,29.0,15571.0,0
4,Male,19.0,52553.0,0
5,Female,52.0,94116.0,1
6,Male,20.0,15656.0,0
7,Female,46.0,29492.0,1
8,Female,48.0,131111.0,1
9,Female,59.0,84157.0,0
10,Male,35.0,114689.0,1
11,Male,34.0,29217.0,0
12,Male,29.0,51865.0,0
13,Male,41.0,97392.0,1
14,Female,26.0,52879.0,0
15,Female,40.0,79532.0,0
16,Female,39.0,32868.0,0
17,Female,52.0,149981.0,1
18,Female,28.0,98672.0,1
19,Female,60.0,38077.0,1
20,Male,56.0,56102.0,1
21,Female,53.0,79311.0,1
22,Female,20.0,82945.0,0
23,Male,49.0,31137.0,1
24,Male,40.0,81622.0,0
25,Male,22.0,88952.0,0
26,Male,46.0,59719.0,0
27,Female,42.0,80312.0,1
28,Female,28.0,33557.0,0
29,Male,33.0,55656.0,0
30,Male,19.0,54723.0,0
31,Female,60.0,40146.0,1
32,Male,40.0,81717.0,0
33,Female,28.0,86235.0,0
34,Female,36.0,72938.0,0
35,Female,41.0,74192.0,0
36,Female,24.0,22380.0,0
37,Female,40.0,60052.0,0
38,Female,41.0,72807.0,1
39,Female,47.0,39167.0,1
40,Female,33.0,57723.0,0
41,Female,42.0,78286.0,0
42,Male,49.0,75195.0,1
43,Male,40.0,45831.0,0
44,Female,44.0,23786.0,1
45,Male,49.0,69121.0,1
46,Female,31.0,117087.0,0
47,Female,21.0,48870.0,0
48,Male,19.0,84293.0,0
49,Female,41.0,79482.0,0
50,Female,34.0,50915.0,0
51,Female,38.0,52565.0,0
52,Male,56.0,133387.0,1
53,Female,40.0,57120.0,0
54,Female,27.0,40041.0,0
55,Male,43.0,65402.0,0
56,Female,48.0,31675.0,1
57,Male,19.0,79071.0,0
58,Male,28.0,89169.0,0
59,Male,40.0,74551.0,0
60,Male,41.0,57155.0,0
61,Female,46.0,71308.0,0
62,Male,47.0,23268.0,1
63,Male,28.0,77994.0,0
64,Female,40.0,58195.0,0
65,Female,50.0,43354.0,0
66,Female,49.0,32029.0,1
67,Male,36.0,74708.0,0
68,Female,42.0,93410.0,1
69,Male,25.0,79698.0,0
70,Female,58.0,38009.0,1
71,Male,18.0,82689.0,0
72,Female,34.0,143292.0,1
73,Female,40.0,72590.0,0
74,Male,48.0,73514.0,1
75,Female,22.0,26173.0,0
76,Male,30.0,79594.0,0
77,Female,28.0,31501.0,0
78,Female,33.0,20540.0,0
79,Male,43.0,68046.0,0
80,Female,32.0,87752.0,0
81,Male,43.0,62397.0,0
82,Female,40.0,72883.0,0
83,Male,57.0,60585.0,1
84,Male,28.0,77710.0,0
85,Female,27.0,84188.0,0
86,Male,30.0,45740.0,0
87,Female,37.0,27170.0,0
88,Male,39.0,52255.0,0
89,Male,42.0,105694.0,1
90,Male,49.0,74967.0,0
91,Female,53.0,81363.0,1
92,Female,42.0,53680.0,0
93,Male,59.0,141216.0,1
94,Male,37.0,73403.0,0
95,Male,20.0,79911.0,0
96,Male,36.0,70299.0,0
97,Female,29.0,83189.0,0
98,Male,36.0,124564.0,1
99,Female,36.0,48498.0,0
100,Female,47.0,29519.0,1
101,Female,20.0,80957.0,0
102,Male,42.0,144875.0,1
103,Male,47.0,17842.0,1
104,Female,58.0,86276.0,0
105,Male,18.0,17804.0,0
106,Male,28.0,88585.0,0
107,Female,19.0,82193.0,0
108,Female,37.0,78550.0,0
109,Female,31.0,119461.0,1
110,Female,29.0,113474.0,0
111,Female,47.0,51653.0,1
112,Male,50.0,28346.0,1
113,Female,30.0,80007.0,0
114,Female,47.0,52875.0,1
115,Male,40.0,56691.0,0
116,Male,45.0,22306.0,1
117,Male,41.0,49085.0,0
118,Female,49.0,30309.0,1
119,Female,28.0,97286.0,1
120,Male,47.0,23724.0,1
121,Female,23.0,79754.0,0
122,Female,59.0,93974.0,1
123,Female,33.0,135983.0,1
124,Female,26.0,87257.0,0
125,Female,33.0,113756.0,0
126,Female,24.0,84472.0,0
127,Male,29.0,81522.0,0
128,Male,46.0,20545.0,1
129,Female,27.0,87678.0,0
130,Male,43.0,73946.0,0
131,Female,26.0,121196.0,0
132,Male,37.0,74370.0,0
133,Male,25.0,93054.0,0
134,Female,35.0,43772.0,0
135,Male,35.0,23697.0,0
136,Male,31.0,21419.0,0
137,Male,47.0,83608.0,1
138,Male,38.0,72112.0,1
139,Male,39.0,69263.0,0
140,Female,36.0,126716.0,1
141,Male,24.0,79043.0,0
142,Female,33.0,70886.0,0
143,Male,47.0,21981.0,1
144,Male,48.0,84532.0,1
145,Female,46.0,32270.0,1
146,Female,51.0,134950.0,0
147,Male,32.0,96191.0,1
148,Female,56.0,123745.0,1
149,Male,58.0,132852.0,1
150,Female,26.0,20421.0,0
151,Female,58.0,27140.0,1
152,Male,35.0,40061.0,0
153,Female,28.0,57590.0,0
154,Male,24.0,61875.0,0
155,Female,46.0,32619.0,1
156,Male,58.0,42359.0,1
157,Female,40.0,70853.0,0
158,Male,36.0,52096.0,0
159,Female,35.0,49041.0,0
160,Female,53.0,41297.0,1
161,Female,36.0,58350.0,0
162,Female,46.0,32079.0,1
163,Female,59.0,35434.0,1
164,Female,31.0,131482.0,1
165,Female,48.0,30964.0,1
166,Male,26.0,18906.0,0
167,Male,35.0,58960.0,0
168,Male,36.0,93839.0,1
169,Female,20.0,49951.0,0
170,Female,38.0,79273.0,0
171,Male,19.0,78373.0,0
172,Male,24.0,93331.0,0
173,Male,27.0,33416.0,0
174,Male,35.0,98307.0,1
175,Female,28.0,51211.0,0
176,Female,40.0,72788.0,0
177,Female,38.0,81331.0,1
178,Male,48.0,25972.0,1
179,Female,28.0,33519.0,0
180,Male,21.0,87356.0,0
181,Female,19.0,86434.0,0
182,Male,24.0,52997.0,0
183,Female,29.0,22772.0,0
184,Female,34.0,147466.0,1
185,Female,26.0,46916.0,0
186,Male,24.0,76178.0,0
187,Male,25.0,82502.0,0
188,Male,36.0,148066.0,1
189,Female,27.0,54462.0,0
190,Female,34.0,42164.0,0
191,Male,48.0,66056.0,0
192,Female,41.0,67027.0,0
193,Female,57.0,27752.0,1
194,Male,46.0,17585.0,1
195,Male,25.0,85173.0,0
196,Female,40.0,72921.0,0
197,Male,38.0,53209.0,0
198,Male,42.0,62392.0,0
199,Male,31.0,58625.0,0
200,Female,40.0,71045.0,0
201,Male,46.0,28583.0,1
202,Male,37.0,74250.0,0
203,Male,28.0,85157.0,0
204,Female,30.0,86379.0,0
205,Female,40.0,60293.0,0
206,Male,41.0,96136.0,1
207,Female,41.0,69811.0,0
208,Male,25.0,34415.0,0
209,Female,44.0,139140.0,1
210,Male,59.0,28524.0,1
211,Female,41.0,62173.0,0
212,Male,60.0,33997.0,1
213,Male,47.0,57737.0,0
214,Male,39.0,42541.0,0
215,Female,54.0,140258.0,1
216,Male,30.0,16820.0,0
217,Female,35.0,49280.0,0
218,Male,41.0,79544.0,0
219,Male,28.0,123184.0,1
220,Male,38.0,54020.0,0
221,Male,49.0,72786.0,1
222,Male,38.0,70575.0,0
223,Female,54.0,125975.0,1
224,Male,28.0,82859.0,0
225,Female,58.0,42330.0,1
226,Female,53.0,104522.0,1
227,Female,36.0,51308.0,0
228,Female,52.0,139234.0,1
229,Female,31.0,120551.0,1
230,Male,19.0,27063.0,0
231,Female,28.0,57567.0,0
232,Male,25.0,77237.0,0
233,Male,31.0,85629.0,0
234,Male,37.0,52004.0,0
235,Female,28.0,53253.0,0
236,Male,25.0,78449.0,0
237,Female,39.0,76383.0,0
238,Male,42.0,74041.0,0
239,Female,32.0,82922.0,0
240,Female,60.0,107660.0,1
241,Female,26.0,42384.0,0
242,Female,25.0,81411.0,0
243,Male,32.0,70548.0,0
244,Female,38.0,76431.0,1
245,Female,40.0,81040.0,0
246,Female,37.0,22699.0,0
247,Male,35.0,57202.0,0
248,Male,47.0,75012.0,0
249,Female,20.0,20841.0,0
250,Female,34.0,71430.0,0
251,Male,44.0,21831.0,1
252,Female,58.0,117844.0,1
253,Female,51.0,38180.0,1
254,Female,54.0,139663.0,1
255,Female,33.0,114016.0,0
256,Male,36.0,105738.0,0
257,Female,26.0,71592.0,0
258,Male,49.0,22571.0,1
259,Male,26.0,86539.0,0
260,Female,32.0,20313.0,0
261,Male,36.0,23961.0,0
262,Female,27.0,38017.0,0
263,Female,40.0,141583.0,1
264,Male,58.0,34063.0,1
265,Male,40.0,134879.0,1
266,Female,33.0,70155.0,0
267,Female,50.0,44329.0,0
268,Female,19.0,21610.0,0
269,Male,34.0,48619.0,0
270,Female,32.0,122049.0,1
271,Female,27.0,141066.0,1
272,Female,34.0,69645.0,0
273,Male,37.0,146009.0,1
274,Male,37.0,73465.0,0
275,Female,54.0,40702.0,1
276,Female,31.0,120530.0,1
277,Female,31.0,121543.0,1
278,Female,28.0,55687.0,0
279,Female,38.0,77360.0,1
280,Male,40.0,74481.0,0
281,Female,50.0,143883.0,1
282,Male,29.0,45892.0,0
283,Female,20.0,67967.0,0
284,Female,36.0,45118.0,0
285,Female,18.0,66287.0,0
286,Male,59.0,34989.0,1
287,Female,38.0,68346.0,0
288,Female,19.0,42076.0,0
289,Female,35.0,69873.0,0
290,Female,41.0,73454.0,0
291,Male,38.0,57429.0,0
292,Female,60.0,96418.0,1
293,Female,37.0,50622.0,0
294,Male,31.0,21505.0,0
295,Female,27.0,88006.0,0
296,Male,30.0,45798.0,0
297,Female,52.0,95272.0,1
298,Male,59.0,45941.0,1
299,Female,49.0,130311.0,1
300,Female,49.0,98770.0,1
301,Male,56.0,72369.0,1
302,Male,30.0,17483.0,0
303,Female,36.0,60370.0,0
304,Male,24.0,84378.0,0
305,Male,40.0,42693.0,0
306,Male,35.0,56605.0,0
307,Male,29.0,71075.0,0
308,Female,43.0,106658.0,1
309,Female,50.0,134424.0,0
310,Male,45.0,102805.0,1
311,Male,40.0,72738.0,0
312,Male,36.0,81192.0,0
313,Male,29.0,18572.0,0
314,Male,48.0,31371.0,1
315,Male,30.0,61952.0,0
316,Male,19.0,88756.0,0
317,Male,29.0,88829.0,0
318,Female,31.0,120420.0,1
319,Male,47.0,22552.0,1
320,Male,25.0,85490.0,0
321,Female,36.0,68522.0,0
322,Male,38.0,73984.0,0
323,Female,27.0,86193.0,0
324,Male,35.0,61325.0,0
325,Male,41.0,71051.0,0
326,Male,43.0,107057.0,1
327,Male,35.0,114253.0,1
328,Female,36.0,53650.0,0
329,Female,38.0,73111.0,0
330,Male,25.0,91967.0,0
331,Male,40.0,119005.0,1
332,Female,35.0,77962.0,0
333,Female,58.0,84245.0,1
334,Female,54.0,19222.0,1
335,Female,50.0,147822.0,1
336,Male,27.0,84920.0,0
337,Male,25.0,93104.0,0
338,Female,27.0,57812.0,0
339,Male,30.0,83870.0,0
340,Female,33.0,48553.0,0
341,Male,26.0,94337.0,0
342,Male,31.0,19719.0,0
343,Female,41.0,75788.0,0
344,Female,46.0,147803.0,1
345,Female,24.0,64764.0,0
346,Female,26.0,18425.0,0
347,Female,19.0,82045.0,0
348,Male,39.0,77412.0,0
349,Female,54.0,103758.0,1
350,Male,57.0,73772.0,1
351,Male,36.0,52336.0,0
352,Female,34.0,35854.0,0
353,Male,18.0,51459.0,0
354,Female,47.0,47982.0,0
355,Female,33.0,145938.0,1
356,Female,40.0,74970.0,0
357,Male,41.0,45350.0,0
358,Male,41.0,61352.0,0
359,Female,45.0,26493.0,1
360,Male,39.0,80942.0,0
361,Female,58.0,97859.0,1
362,Male,23.0,61554.0,0
363,Female,49.0,143143.0,0
364,Male,47.0,122399.0,1
365,Female,42.0,54315.0,0
366,Male,47.0,27459.0,1
367,Male,39.0,56246.0,0
368,Female,37.0,114507.0,1
369,Female,33.0,149850.0,1
370,Male,60.0,99862.0,1
371,Female,26.0,56698.0,0
372,Male,39.0,132227.0,1
373,Female,18.0,26579.0,0
374,Male,33.0,113540.0,0
375,Female,37.0,49863.0,0
376,Female,35.0,126640.0,1
377,Male,54.0,69489.0,1
378,Female,58.0,47157.0,0
379,Female,24.0,22005.0,0
380,Female,35.0,148823.0,1
381,Female,21.0,50727.0,0
382,Male,37.0,95984.0,1
383,Male,32.0,21164.0,0
384,Male,57.0,136467.0,1
385,Female,59.0,79744.0,1
386,Male,49.0,32160.0,1
387,Female,38.0,53867.0,0
388,Male,31.0,56109.0,0
389,Female,38.0,54110.0,0
390,Male,41.0,74801.0,0
391,Male,39.0,65673.0,0
392,Male,21.0,17611.0,0
393,Female,51.0,37971.0,1
394,Female,32.0,33453.0,0
395,Female,38.0,79285.0,1
396,Male,20.0,50183.0,0
397,Male,25.0,27358.0,0
398,Male,40.0,71434.0,0
399,Female,26.0,69181.0,0
400,Female,36.0,66600.0,0
401,Female,28.0,99389.0,1
402,Male,35.0,19644.0,0
403,Female,48.0,32037.0,1
404,Male,57.0,59709.0,1
405,Female,23.0,24346.0,0
406,Male,41.0,75995.0,0
407,Male,20.0,50334.0,0
408,Male,43.0,64216.0,0
409,Male,23.0,59020.0,0
410,Female,42.0,132867.0,0
411,Female,30.0,85293.0,0
412,Female,39.0,63015.0,0
413,Male,30.0,78522.0,0
414,Female,37.0,64219.0,0
415,Male,40.0,74657.0,0
416,Male,37.0,20277.0,0
417,Male,29.0,15040.0,0
418,Male,29.0,47434.0,0
419,Male,19.0,20278.0,0
420,Female,36.0,125731.0,1
421,Male,37.0,119873.0,1
422,Male,20.0,26081.0,0
423,Male,38.0,69440.0,0
424,Male,31.0,67570.0,0
425,Female,24.0,68346.0,0
426,Male,36.0,149165.0,1
427,Male,40.0,69070.0,0
428,Female,52.0,18055.0,1
429,Male,35.0,70580.0,0
430,Male,34.0,114983.0,0
431,Female,54.0,129821.0,1
432,Female,29.0,83626.0,0
433,Male,59.0,140082.0,1
434,Female,30.0,80816.0,0
435,Male,29.0,86584.0,0
436,Male,40.0,50384.0,0
437,Male,29.0,70413.0,0
438,Female,48.0,118232.0,1
439,Female,20.0,26156.0,0
440,Male,23.0,18183.0,0
441,Female,49.0,35070.0,1
442,Male,59.0,29793.0,1
443,Male,29.0,18416.0,0
444,Male,24.0,18729.0,0
445,Male,40.0,46961.0,0
446,Female,43.0,143238.0,1
447,Female,55.0,128750.0,1
448,Male,42.0,126090.0,1
449,Female,47.0,78215.0,1
450,Male,58.0,44102.0,0
451,Female,58.0,33049.0,1
452,Female,28.0,56110.0,0
453,Male,35.0,44039.0,0
454,Female,39.0,81674.0,1
455,Male,19.0,50520.0,0
456,Female,60.0,31200.0,1
457,Female,25.0,18261.0,0
458,Female,47.0,33940.0,1
459,Female,48.0,39318.0,1
460,Female,26.0,119104.0,0
461,Male,29.0,57972.0,0
462,Male,41.0,52586.0,0
463,Male,48.0,82984.0,1
464,Male,30.0,74214.0,0
465,Female,37.0,81163.0,0
466,Female,35.0,52867.0,0
467,Male,39.0,49569.0,0
468,Female,44.0,23512.0,1
469,Female,26.0,87372.0,0
470,Male,20.0,50606.0,0
471,Male,57.0,75202.0,1
472,Male,26.0,19469.0,0
473,Female,48.0,122199.0,1
474,Male,58.0,42680.0,1
475,Female,60.0,22214.0,1
476,Female,53.0,38284.0,1
477,Female,53.0,33736.0,1
478,Male,47.0,23116.0,1
479,Male,21.0,72161.0,0
480,Male,38.0,51093.0,0
481,Male,35.0,33766.0,0
482,Female,40.0,58787.0,0
483,Female,30.0,61777.0,0
484,Male,28.0,87714.0,0
485,Male,41.0,75907.0,0
486,Female,36.0,50623.0,0
