User ID,Gender,Age,EstimatedSalary,Purchased
0,Female,34,150000,1
1,Male,32,142000,0
2,Female,28,95000,0
3,Male,40,15000,0
4,Male,38,107000,0
5,Male,18,78000,1
6,Male,30,59000,0
7,Male,28,76000,0
8,Male,60,28000,1
9,Male,58,39000,1
10,Male,40,71000,1
11,Male,41,55000,1
12,Male,23,67000,1
13,Male,43,58000,0
14,Female,18,22000,0
15,Male,27,70000,0
16,Male,32,81000,1
17,Male,38,55000,1
18,Male,34,35000,1
19,Male,40,43000,0
20,Female,23,66000,0
21,Female,32,28000,0
22,Male,20,111000,0
23,Male,36,150000,0
24,Female,60,136000,1
25,Male,20,116000,1
26,Male,19,48000,1
27,Male,54,66000,1
28,Male,18,64000,0
29,Male,36,149000,0
30,Male,36,15000,1
31,Female,31,89000,0
32,Male,18,15000,0
33,Female,40,55000,0
34,Female,26,143000,0
35,Male,40,139000,0
36,Female,45,34000,0
37,Female,20,34000,1
38,Male,28,36000,0
39,Male,30,59000,0
40,Female,60,78000,1
41,Male,33,25000,1
42,Female,32,88000,0
43,Male,60,80000,0
44,Male,33,56000,1
45,Female,30,53000,1
46,Male,30,87000,0
47,Female,31,69000,0
48,Male,27,51000,0
49,Male,37,133000,0
50,Male,45,51000,0
51,Male,36,39000,0
52,Male,21,27000,0
53,Female,60,78000,1
54,Female,41,123000,0
55,Male,18,44000,1
56,Female,58,116000,1
57,Female,42,121000,0
58,Female,28,73000,0
59,Male,44,84000,0
60,Male,18,99000,1
61,Female,60,85000,0
62,Male,50,117000,0
63,Female,47,150000,0
64,Male,46,85000,1
65,Male,31,104000,1
66,Female,60,92000,1
67,Male,44,109000,1
68,Male,32,113000,0
69,Male,22,59000,0
70,Female,52,80000,0
71,Female,21,52000,0
72,Male,24,56000,0
73,Male,60,96000,0
74,Male,28,74000,1
75,Female,38,42000,0
76,Female,27,72000,0
77,Male,31,44000,0
78,Male,53,63000,0
79,Male,27,55000,1
80,Male,39,77000,0
81,Female,35,48000,1
82,Female,60,108000,0
83,Male,39,105000,0
84,Male,44,49000,1
85,Male,25,97000,0
86,Female,20,58000,0
87,Female,30,74000,0
88,Male,37,96000,0
89,Female,43,132000,1
90,Male,36,51000,0
91,Female,60,69000,1
92,Male,42,38000,0
93,Female,30,105000,1
94,Male,18,73000,0
95,Female,24,56000,1
96,Male,59,27000,1
97,Female,31,116000,1
98,Female,18,60000,0
99,Male,18,15000,0
100,Male,43,64000,1
101,Female,31,75000,1
102,Female,60,80000,1
103,Female,55,15000,1
104,Male,60,110000,1
105,Female,53,93000,1
106,Female,44,82000,0
107,Female,45,62000,0
108,Female,54,53000,1
109,Female,20,108000,0
110,Male,19,79000,0
111,Female,19,61000,1
112,Male,44,42000,0
113,Female,60,128000,1
114,Male,21,55000,1
115,Male,28,93000,0
116,Female,20,15000,0
117,Female,48,19000,1
118,Male,29,92000,0
119,Female,28,77000,0
120,Female,46,56000,0
121,Male,47,89000,0
122,Male,50,115000,0
123,Female,49,100000,1
124,Male,18,63000,1
125,Female,60,107000,0
126,Male,51,15000,0
127,Male,18,44000,0
128,Female,18,60000,0
129,Male,29,108000,0
130,Male,31,53000,0
131,Male,40,23000,1
132,Female,60,110000,0
133,Female,56,66000,0
134,Female,40,120000,0
135,Male,27,20000,0
136,Male,36,28000,0
137,Male,23,61000,0
138,Female,46,78000,0
139,Female,24,52000,0
140,Female,26,15000,0
141,Male,18,35000,1
142,Male,18,87000,1
143,Female,39,71000,0
144,Female,38,91000,0
145,Female,34,49000,1
146,Male,44,50000,0
147,Female,31,18000,0
148,Female,22,45000,0
149,Female,42,86000,0
150,Male,20,82000,0
151,Male,32,113000,0
152,Female,60,67000,1
153,Female,39,54000,1
154,Female,38,78000,0
155,Male,33,17000,1
156,Female,29,41000,1
157,Male,24,88000,1
158,Female,37,150000,0
159,Female,42,116000,0
160,Female,22,110000,1
161,Female,45,87000,1
162,Female,23,53000,0
163,Female,31,117000,0
164,Female,34,107000,0
165,Male,49,51000,1
166,Male,18,46000,0
167,Female,54,109000,0
168,Female,36,71000,0
169,Female,32,38000,1
170,Male,18,40000,1
171,Male,18,15000,0
172,Male,43,99000,0
173,Male,60,97000,1
174,Male,26,24000,0
175,Female,24,15000,0
176,Female,35,133000,1
177,Male,18,69000,1
178,Male,50,94000,0
179,Male,52,74000,0
180,Female,41,47000,1
181,Male,47,67000,0
182,Male,26,113000,0
183,Female,18,90000,1
184,Male,40,150000,0
185,Male,52,78000,0
186,Female,58,105000,0
187,Male,31,91000,0
188,Male,52,75000,0
189,Male,34,47000,0
190,Female,31,86000,1
191,Female,40,143000,1
192,Male,23,23000,1
193,Female,26,69000,0
194,Female,39,53000,0
195,Male,34,43000,1
196,Female,56,50000,1
197,Male,29,94000,0
198,Female,30,97000,0
199,Female,50,125000,0
200,Female,42,150000,0
201,Female,36,24000,0
202,Male,34,77000,0
203,Female,35,51000,1
204,Female,31,100000,1
205,Female,18,56000,0
206,Female,46,62000,0
207,Female,54,36000,1
208,Male,49,74000,0
209,Female,18,21000,0
210,Male,41,62000,0
211,Female,40,113000,1
212,Female,51,105000,0
213,Female,60,32000,1
214,Female,23,15000,1
215,Male,48,29000,1
216,Male,45,88000,1
217,Male,18,47000,0
218,Male,46,65000,1
219,Female,33,78000,0
220,Female,33,62000,0
221,Male,47,85000,0
222,Female,18,46000,1
223,Male,35,95000,0
224,Female,34,48000,0
225,Male,39,71000,1
226,Male,39,100000,1
227,Male,24,94000,0
228,Female,18,123000,1
229,Male,42,71000,0
230,Male,25,141000,0
231,Female,28,16000,0
232,Female,48,62000,1
233,Male,18,95000,0
234,Female,60,73000,1
235,Male,55,20000,0
236,Male,27,46000,1
237,Male,34,99000,0
238,Male,18,17000,1
239,Male,41,55000,0
240,Female,38,71000,0
241,Male,50,42000,1
242,Male,54,107000,1
243,Female,22,117000,0
244,Female,39,73000,0
245,Male,31,89000,1
246,Female,60,87000,0
247,Male,47,36000,1
248,Female,38,95000,0
249,Female,23,90000,0
250,Female,58,120000,1
251,Male,39,65000,1
252,Female,31,150000,0
253,Male,25,15000,0
254,Male,19,83000,0
255,Female,31,51000,0
256,Male,36,84000,1
257,Female,36,69000,1
258,Female,40,50000,0
259,Male,42,150000,0
260,Female,49,110000,1
261,Female,18,102000,0
262,Female,43,75000,1
263,Male,51,99000,0
264,Male,18,68000,1
265,Female,45,75000,0
266,Female,30,54000,0
267,Female,43,83000,1
268,Male,33,100000,0
269,Female,46,95000,0
270,Male,60,150000,1
271,Female,22,65000,0
272,Male,52,150000,1
273,Male,18,91000,0
274,Male,52,60000,1
275,Male,37,54000,0
276,Male,28,55000,1
277,Female,49,84000,1
278,Male,39,118000,0
279,Female,19,80000,0
280,Male,26,15000,1
