User ID,Gender,Age,EstimatedSalary,Purchased
0,Female,18,43000,1
1,Male,22,47000,1
2,Male,38,29000,0
3,Female,36,15000,0
4,Male,33,98000,0
5,Female,18,79000,0
6,Male,45,51000,0
7,Female,18,28000,1
8,Male,41,67000,0
9,Male,24,75000,1
10,Male,18,51000,0
11,Female,18,85000,1
12,Female,35,150000,0
13,Male,60,102000,0
14,Male,33,121000,0
15,Female,20,15000,0
16,Female,18,52000,0
17,Male,18,73000,1
18,Male,18,71000,0
19,Female,33,43000,0
20,Male,38,52000,0
21,Female,18,127000,0
22,Male,20,57000,1
23,Female,26,23000,1
24,Female,44,49000,0
25,Male,32,57000,1
26,Female,42,79000,1
27,Male,29,15000,0
28,Female,34,99000,1
29,Female,18,133000,0
30,Male,18,61000,0
31,Female,37,59000,1
32,Male,28,22000,1
33,Female,39,123000,1
34,Male,28,29000,1
35,Male,31,121000,0
36,Male,37,24000,0
37,Male,37,30000,1
38,Female,28,76000,0
39,Female,32,99000,0
40,Male,31,27000,0
41,Female,33,26000,1
42,Male,21,85000,0
43,Female,24,15000,1
44,Female,26,67000,0
45,Male,18,150000,1
46,Female,31,39000,0
47,Female,19,97000,0
48,Male,28,91000,1
49,Male,20,42000,0
50,Female,19,35000,0
51,Male,18,80000,0
52,Male,18,18000,0
53,Male,18,66000,0
54,Female,25,29000,0
55,Male,34,79000,0
56,Male,32,62000,0
57,Male,54,99000,1
58,Male,38,54000,0
59,Male,29,52000,0
60,Male,35,39000,1
61,Male,36,57000,0
62,Male,18,53000,0
63,Female,24,48000,0
64,Female,18,85000,0
65,Female,39,15000,0
66,Female,28,15000,0
67,Male,30,59000,0
68,Male,32,48000,0
69,Male,24,28000,0
70,Male,24,51000,0
71,Female,40,47000,0
72,Male,18,150000,1
73,Male,25,23000,1
74,Female,18,74000,0
75,Female,18,31000,0
76,Female,18,30000,1
77,Female,25,53000,0
78,Male,29,78000,0
79,Male,28,43000,1
80,Male,29,39000,0
81,Female,29,32000,0
82,Male,33,74000,1
83,Male,18,15000,0
84,Male,18,15000,1
85,Male,38,26000,0
86,Male,30,113000,0
87,Female,18,134000,0
88,Male,40,15000,0
89,Male,21,45000,1
90,Female,36,91000,0
91,Female,35,23000,0
92,Female,32,75000,1
93,Female,27,33000,0
94,Male,43,15000,0
95,Female,41,65000,0
96,Male,30,47000,0
97,Female,53,23000,0
98,Female,33,35000,1
99,Female,48,40000,0
100,Female,18,76000,0
101,Male,18,70000,0
102,Female,18,108000,0
103,Female,39,31000,0
104,Male,35,88000,1
105,Male,41,22000,1
106,Male,25,98000,0
107,Female,36,15000,1
108,Female,28,115000,0
109,Female,35,99000,0
110,Male,25,54000,0
111,Female,30,36000,1
112,Male,32,44000,0
113,Male,18,81000,1
114,Female,22,99000,1
115,Female,30,113000,0
116,Male,25,116000,0
117,Female,18,39000,1
118,Male,55,38000,0
119,Female,60,73000,0
120,Male,23,42000,1
121,Male,28,15000,1
122,Female,28,26000,1
123,Male,28,78000,1
124,Female,38,98000,1
125,Male,20,81000,1
126,Male,36,36000,0
127,Male,18,32000,0
128,Male,33,18000,0
129,Male,25,35000,0
130,Male,36,128000,1
131,Male,52,81000,0
132,Male,53,58000,0
133,Male,34,61000,0
134,Female,46,65000,1
135,Female,33,60000,0
136,Male,30,36000,0
137,Male,33,87000,0
138,Female,57,15000,0
139,Male,22,21000,1
140,Male,29,50000,0
141,Male,30,89000,0
142,Male,60,90000,0
143,Male,30,51000,0
144,Female,18,53000,1
145,Female,19,84000,0
146,Male,27,53000,0
147,Male,36,90000,1
148,Female,32,83000,0
149,Male,40,116000,0
150,Male,35,48000,0
151,Female,18,61000,0
152,Female,18,63000,0
153,Male,37,69000,0
154,Female,18,15000,0
155,Female,18,44000,0
156,Male,18,15000,0
157,Male,28,46000,0
158,Female,29,51000,0
159,Female,34,69000,0
160,Female,18,113000,0
161,Female,31,81000,0
162,Female,24,34000,1
163,Male,45,58000,0
164,Female,39,83000,1
165,Male,27,15000,0
166,Female,18,123000,0
167,Male,60,78000,1
168,Female,30,35000,0
169,Male,40,119000,1
170,Female,18,48000,0
171,Male,27,89000,0
172,Male,18,59000,0
173,Male,22,16000,1
174,Male,30,18000,0
175,Female,34,79000,0
176,Female,18,54000,0
177,Female,28,58000,0
178,Female,26,32000,0
179,Male,56,45000,0
180,Male,18,66000,0
181,Male,28,55000,0
182,Male,31,54000,0
183,Female,34,15000,1
184,Female,18,71000,0
185,Female,27,150000,0
186,Female,24,80000,0
187,Female,40,94000,1
188,Female,35,150000,0
189,Female,33,67000,0
190,Female,40,100000,0
191,Male,18,15000,1
192,Male,25,86000,0
193,Female,34,25000,1
194,Female,41,80000,0
195,Male,26,100000,0
196,Male,28,126000,0
197,Male,18,58000,0
198,Female,37,101000,0
199,Female,38,76000,0
200,Female,60,44000,0
201,Female,31,59000,1
202,Male,19,27000,0
203,Female,29,69000,1
204,Male,18,48000,0
205,Male,31,73000,1
