User ID,Gender,Age,EstimatedSalary,Purchased
0,Female,33,53000,0
1,Male,38,88000,0
2,Male,18,29000,0
3,Male,50,150000,1
4,Female,41,40000,1
5,Female,32,63000,1
6,Male,39,44000,0
7,Female,55,75000,1
8,Female,41,126000,1
9,Female,18,18000,0
10,Male,35,66000,0
11,Female,26,102000,0
12,Female,48,115000,1
13,Male,24,136000,1
14,Male,30,29000,0
15,Female,53,114000,1
16,Male,23,81000,0
17,Female,32,41000,0
18,Female,38,36000,1
19,Female,60,87000,1
20,Female,42,102000,1
21,Female,39,59000,1
22,Female,41,93000,0
23,Female,33,65000,0
24,Male,38,77000,1
25,Female,18,84000,0
26,Male,53,83000,1
27,Female,29,64000,0
28,Male,48,81000,1
29,Female,28,99000,0
30,Female,18,15000,0
31,Male,33,56000,0
32,Female,47,82000,1
33,Female,44,28000,0
34,Female,36,28000,0
35,Female,32,15000,0
36,Male,29,15000,0
37,Male,49,106000,1
38,Female,49,68000,1
39,Female,29,121000,0
40,Male,44,17000,1
41,Male,31,71000,0
42,Male,46,67000,1
43,Female,24,138000,0
44,Male,33,35000,0
45,Female,30,93000,0
46,Female,47,65000,0
47,Female,37,147000,1
48,Female,40,15000,1
49,Female,42,109000,1
50,Male,31,81000,0
51,Male,26,67000,0
52,Female,37,95000,0
53,Male,32,60000,0
54,Female,47,51000,0
55,Male,40,15000,0
56,Female,40,33000,0
57,Female,28,63000,0
58,Female,54,15000,1
59,Female,33,71000,0
60,Male,39,15000,0
61,Male,36,70000,0
62,Female,44,16000,0
63,Female,54,64000,1
64,Male,40,40000,0
65,Female,20,42000,0
66,Male,59,100000,1
67,Female,30,79000,0
68,Female,31,66000,0
69,Male,37,72000,1
70,Female,43,139000,1
71,Male,45,56000,1
72,Female,20,73000,0
73,Female,18,30000,0
74,Male,18,48000,0
75,Male,32,71000,1
76,Female,35,126000,0
77,Female,37,80000,1
78,Male,48,22000,0
79,Male,45,65000,1
80,Male,34,41000,1
81,Female,43,114000,1
82,Female,43,68000,1
83,Male,27,86000,0
84,Female,34,77000,1
85,Female,34,109000,1
86,Male,57,108000,1
87,Female,30,56000,0
88,Male,37,69000,0
89,Female,37,73000,1
90,Female,38,106000,0
91,Female,47,101000,1
92,Male,40,15000,1
93,Female,53,144000,1
94,Male,34,66000,0
95,Male,45,84000,0
96,Female,49,82000,0
97,Female,24,87000,0
98,Male,48,97000,1
99,Female,37,61000,0
100,Male,56,67000,0
101,Male,43,94000,1
102,Male,42,77000,0
103,Male,39,129000,1
104,Male,43,75000,1
105,Male,45,49000,1
106,Male,41,144000,1
107,Female,46,77000,1
108,Female,43,54000,1
109,Male,28,67000,0
110,Female,44,85000,1
111,Male,37,55000,0
112,Male,25,60000,0
113,Male,38,77000,1
114,Male,48,49000,1
115,Male,51,60000,0
116,Male,31,117000,0
117,Male,31,51000,0
118,Female,38,81000,1
119,Female,47,80000,0
120,Male,33,34000,0
121,Female,38,15000,0
122,Female,21,15000,0
123,Male,49,97000,1
124,Male,38,150000,0
125,Female,32,23000,0
126,Female,39,91000,1
127,Female,58,54000,1
128,Female,40,81000,0
129,Male,43,40000,0
130,Female,51,119000,1
131,Female,59,77000,1
132,Female,33,50000,0
133,Male,39,80000,0
134,Male,60,85000,1
135,Female,46,115000,0
136,Female,42,92000,0
137,Male,35,92000,0
138,Male,29,15000,0
139,Male,36,47000,0
140,Female,41,15000,0
141,Male,59,88000,1
142,Male,20,31000,0
143,Female,37,108000,1
144,Male,60,61000,1
145,Male,38,64000,1
146,Male,51,59000,1
147,Male,37,48000,0
148,Female,38,124000,1
149,Male,38,89000,1
150,Male,30,79000,0
151,Male,54,77000,1
152,Female,28,25000,0
153,Female,40,88000,1
154,Male,32,66000,0
155,Male,44,57000,1
156,Female,41,75000,0
157,Female,26,34000,0
158,Female,43,29000,1
159,Female,25,82000,0
160,Male,27,72000,0
161,Female,18,80000,0
162,Female,47,62000,1
163,Female,32,48000,0
164,Male,55,69000,1
165,Female,37,69000,0
166,Female,42,50000,1
167,Female,47,89000,0
168,Female,36,28000,0
169,Male,36,50000,0
170,Male,23,78000,0
171,Male,40,68000,0
172,Male,55,115000,1
173,Male,27,72000,0
174,Male,18,86000,0
175,Female,33,56000,0
176,Female,49,45000,1
177,Female,23,78000,0
178,Female,43,109000,1
179,Male,37,61000,0
180,Male,54,91000,1
181,Male,35,44000,0
182,Female,48,26000,0
183,Male,31,27000,0
