User ID,Gender,Age,EstimatedSalary,Purchased
0,Female,31,66000,0
1,Female,38,120000,1
2,Male,39,22000,0
3,Female,52,109000,1
4,Female,51,114000,1
5,Female,49,38000,1
6,Male,27,76000,0
7,Female,42,74000,0
8,Male,39,47000,0
9,Male,25,57000,0
10,Female,44,63000,0
11,Female,45,31000,0
12,Male,44,65000,0
13,Male,30,31000,0
14,Female,35,36000,0
15,Male,19,86000,0
16,Male,24,84000,0
17,Female,51,127000,1
18,Female,23,84000,0
19,Female,24,71000,0
20,Female,44,46000,1
21,Female,49,139000,1
22,Female,46,136000,1
23,Male,34,32000,0
24,Female,39,50000,1
25,Female,54,110000,1
26,Male,29,70000,0
27,Male,21,76000,0
28,Male,26,19000,0
29,Female,47,123000,1
30,Female,26,57000,0
31,Male,36,83000,0
32,Female,49,42000,0
33,Male,31,57000,0
34,Female,40,144000,1
35,Male,22,71000,0
36,Female,49,110000,1
37,Female,40,75000,0
38,Female,52,45000,0
39,Male,32,79000,0
40,Male,39,70000,0
41,Female,47,113000,1
42,Male,28,66000,0
43,Female,43,33000,1
44,Female,44,81000,0
45,Female,54,33000,1
46,Female,43,25000,0
47,Male,38,66000,0
48,Female,52,37000,1
49,Female,47,42000,0
50,Male,30,80000,0
51,Female,41,71000,1
52,Male,30,84000,0
53,Female,49,123000,1
54,Male,29,85000,0
55,Female,56,33000,1
56,Male,32,75000,0
57,Female,53,70000,0
58,Female,46,109000,1
59,Female,55,19000,1
60,Female,51,45000,1
61,Male,29,79000,0
62,Female,51,44000,1
63,Female,48,111000,1
64,Male,30,100000,0
65,Female,49,122000,1
66,Female,53,28000,1
67,Male,29,74000,0
68,Female,46,123000,1
69,Female,25,68000,0
70,Male,31,83000,0
71,Male,36,72000,0
72,Female,60,131000,1
73,Male,18,80000,0
74,Male,25,80000,0
75,Male,24,66000,0
76,Female,51,55000,0
77,Female,35,37000,0
78,Male,26,64000,0
79,Female,58,34000,0
80,Female,53,34000,1
81,Male,27,64000,0
82,Male,34,34000,0
83,Male,22,71000,0
84,Female,46,101000,1
85,Male,41,75000,0
86,Male,38,58000,0
87,Female,28,34000,0
88,Male,21,68000,0
89,Female,23,84000,0
90,Female,55,47000,1
91,Male,26,56000,0
92,Male,34,46000,0
93,Female,49,81000,0
94,Female,57,34000,0
95,Female,52,136000,1
96,Female,30,104000,0
97,Female,46,139000,1
98,Female,29,93000,0
99,Female,57,43000,1
100,Female,26,75000,0
101,Female,25,72000,0
102,Female,40,128000,1
103,Female,46,132000,1
104,Female,49,67000,0
105,Male,33,69000,0
106,Male,32,74000,0
107,Male,35,45000,0
108,Male,35,79000,0
109,Male,23,92000,0
110,Female,54,34000,0
111,Male,26,69000,0
112,Female,52,134000,1
113,Female,47,133000,1
114,Male,28,58000,0
115,Male,30,56000,0
116,Female,33,86000,0
117,Male,28,68000,0
118,Female,25,67000,0
119,Female,24,98000,0
120,Female,60,46000,0
121,Male,31,73000,0
122,Male,36,26000,0
123,Female,51,126000,1
124,Female,45,54000,1
125,Male,31,78000,0
126,Female,35,66000,0
127,Male,34,36000,0
